Language1, Language2, SimilarityScore, Time
id, id, 1.0, 6.794929504394531e-05
id, fr, 0.7724867724867724, 7.176399230957031e-05
id, mr, 1.0, 1.430511474609375e-05
id, tr, 0.7142857142857143, 3.62396240234375e-05
id, lv, 0.6666666666666666, 1.4781951904296875e-05
id, el, 0.6666666666666666, 1.5020370483398438e-05
id, es, 0.7096774193548386, 4.9114227294921875e-05
id, pl, 0.7027027027027026, 3.600120544433594e-05
id, vi, 0.6666666666666666, 1.9073486328125e-05
id, de, 0.6764705882352942, 5.0067901611328125e-05
id, ml, 1.0, 1.3113021850585938e-05
id, sh, 0.7654320987654322, 5.841255187988281e-05
id, nl, 0.696629213483146, 3.838539123535156e-05
id, pt, 0.7080745341614907, 5.698204040527344e-05
id, ro, 0.6666666666666666, 2.3603439331054688e-05
id, ja, 0.6666666666666666, 3.528594970703125e-05
id, simple, 0.6666666666666666, 1.7404556274414062e-05
id, it, 0.7118644067796611, 0.00011301040649414062
id, he, 0.6666666666666666, 2.2172927856445312e-05
id, da, 0.6666666666666666, 2.2649765014648438e-05
id, en, 0.7368421052631579, 0.0001583099365234375
id, sr, 0.6666666666666666, 3.123283386230469e-05
id, sv, 0.7142857142857143, 2.8371810913085938e-05
id, ckb, 0.6666666666666666, 1.52587890625e-05
id, ru, 0.6666666666666666, 3.886222839355469e-05
id, hi, 0.6666666666666666, 2.0265579223632812e-05
id, arz, 1.0, 1.2874603271484375e-05
id, bs, 1.0, 1.2874603271484375e-05
id, zh, 0.6666666666666666, 3.62396240234375e-05
id, mk, 1.0, 1.2874603271484375e-05
id, hu, 0.8, 1.6927719116210938e-05
id, ko, 0.6666666666666666, 3.123283386230469e-05
id, war, 1.0, 1.2159347534179688e-05
fr, fr, 1.0, 0.0002353191375732422
fr, mr, 0.6666666666666666, 1.4543533325195312e-05
fr, tr, 0.7134502923976609, 6.079673767089844e-05
fr, lv, 0.6666666666666666, 1.811981201171875e-05
fr, el, 0.6666666666666666, 2.2411346435546875e-05
fr, es, 0.7318982387475539, 0.00021338462829589844
fr, pl, 0.696629213483146, 9.894371032714844e-05
fr, vi, 0.6842105263157894, 3.933906555175781e-05
fr, de, 0.7573696145124715, 0.00015497207641601562
fr, ml, 1.0, 1.5735626220703125e-05
fr, sh, 0.8112449799196787, 9.965896606445312e-05
fr, nl, 0.7224334600760456, 9.489059448242188e-05
fr, pt, 0.726530612244898, 0.00015282630920410156
fr, ro, 0.6857142857142857, 3.075599670410156e-05
fr, ja, 0.6666666666666666, 8.225440979003906e-05
fr, simple, 0.75, 2.5033950805664062e-05
fr, it, 0.7215081405312768, 0.0003299713134765625
fr, he, 0.6666666666666666, 4.029273986816406e-05
fr, da, 0.7096774193548386, 5.53131103515625e-05
fr, en, 0.7466960352422908, 0.0004749298095703125
fr, sr, 0.6774193548387096, 4.935264587402344e-05
fr, sv, 0.7123287671232877, 5.53131103515625e-05
fr, ckb, 0.6666666666666666, 1.5497207641601562e-05
