Language1, Language2, SimilarityScore, Time
id, id, 1.0, 3.9577484130859375e-05
id, fr, 0.5, 1.811981201171875e-05
id, mr, 0.14285714285714285, 1.3113021850585938e-05
id, tr, 0.16666666666666666, 1.2159347534179688e-05
id, lv, 0.2857142857142857, 1.1682510375976562e-05
id, el, 0.25, 1.239776611328125e-05
id, es, 0.3939393939393939, 1.6689300537109375e-05
id, pl, 0.30000000000000004, 1.5020370483398438e-05
id, vi, 0.6041666666666666, 1.3828277587890625e-05
id, de, 0.30833333333333335, 1.430511474609375e-05
id, ml, 0.14285714285714285, 1.1444091796875e-05
id, sh, 0.41666666666666663, 1.3113021850585938e-05
id, nl, 0.5833333333333333, 1.3828277587890625e-05
id, si, 0.07142857142857142, 1.1205673217773438e-05
id, pt, 0.2, 1.1920928955078125e-05
id, ro, 0.3333333333333333, 1.4781951904296875e-05
id, ja, 0.3333333333333333, 1.239776611328125e-05
id, simple, 0.45238095238095233, 1.2159347534179688e-05
id, it, 0.2916666666666667, 1.4543533325195312e-05
id, ceb, 0.21428571428571427, 1.1205673217773438e-05
id, he, 0.25, 1.1444091796875e-05
id, da, 0.375, 1.33514404296875e-05
id, en, 0.3846153846153846, 2.193450927734375e-05
id, sr, 0.2857142857142857, 1.1444091796875e-05
id, sv, 0.375, 1.3113021850585938e-05
id, ckb, 0.07142857142857142, 1.1444091796875e-05
id, ru, 0.16666666666666666, 1.239776611328125e-05
id, hi, 0.14285714285714285, 1.1444091796875e-05
id, arz, 0.0625, 1.1205673217773438e-05
id, bs, 0.14285714285714285, 1.0728836059570312e-05
id, te, 0.07142857142857142, 1.1444091796875e-05
id, zh, 0.35, 1.239776611328125e-05
id, mk, 0.09090909090909091, 1.2159347534179688e-05
id, hu, 0.3222222222222222, 1.4781951904296875e-05
id, ko, 0.3888888888888889, 1.2159347534179688e-05
id, war, 0.14285714285714285, 1.1444091796875e-05
id, union, 0.3020833333333333, 4.410743713378906e-05
fr, fr, 1.0, 1.4781951904296875e-05
fr, mr, 0.09090909090909091, 1.1444091796875e-05
fr, tr, 0.22727272727272727, 1.239776611328125e-05
fr, lv, 0.18181818181818182, 1.1920928955078125e-05
fr, el, 0.22727272727272727, 1.2159347534179688e-05
fr, es, 0.6333333333333333, 1.6450881958007812e-05
fr, pl, 0.4423076923076923, 1.4781951904296875e-05
fr, vi, 0.45833333333333337, 1.33514404296875e-05
fr, de, 0.4076923076923077, 1.4781951904296875e-05
fr, ml, 0.09090909090909091, 1.1920928955078125e-05
fr, sh, 0.3939393939393939, 1.2874603271484375e-05
fr, nl, 0.696969696969697, 1.4066696166992188e-05
