Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.1457672119140625e-05
id, fr, 0.0, 1.5497207641601562e-05
id, mr, 0.0, 1.239776611328125e-05
id, tr, 0.0, 1.3113021850585938e-05
id, lv, 0.0, 1.1444091796875e-05
id, el, 0.0, 1.0251998901367188e-05
id, es, 0.0, 1.430511474609375e-05
id, pl, 0.0, 1.1444091796875e-05
id, vi, 0.0, 1.0967254638671875e-05
id, de, 0.0, 1.4066696166992188e-05
id, ml, 0.0, 1.1920928955078125e-05
id, sh, 0.0, 1.2159347534179688e-05
id, nl, 0.2, 1.811981201171875e-05
id, si, 0.0, 1.239776611328125e-05
id, pt, 0.0, 1.3113021850585938e-05
id, ro, 0.0, 1.239776611328125e-05
id, ja, 0.0, 1.0013580322265625e-05
id, simple, 0.0, 1.1920928955078125e-05
id, it, 0.14285714285714285, 1.7642974853515625e-05
id, he, 0.0, 1.0728836059570312e-05
id, da, 0.0, 1.0251998901367188e-05
id, en, 0.09090909090909091, 2.09808349609375e-05
id, sr, 0.0, 1.049041748046875e-05
id, sv, 0.0, 1.1920928955078125e-05
id, ru, 0.0, 1.1205673217773438e-05
id, hi, 0.0, 1.049041748046875e-05
id, bs, 0.0, 1.5497207641601562e-05
id, zh, 0.0, 1.0251998901367188e-05
id, mk, 0.0, 1.0728836059570312e-05
id, hu, 0.0, 1.0728836059570312e-05
id, ko, 0.0, 1.0728836059570312e-05
fr, fr, 1.0, 3.266334533691406e-05
fr, mr, 0.0, 1.0013580322265625e-05
fr, tr, 0.0, 1.8596649169921875e-05
fr, lv, 0.0, 1.2636184692382812e-05
fr, el, 0.0, 2.6226043701171875e-05
fr, es, 0.3333333333333333, 2.7179718017578125e-05
fr, pl, 0.0, 1.430511474609375e-05
fr, vi, 0.0, 1.33514404296875e-05
fr, de, 0.14285714285714285, 2.8371810913085938e-05
fr, ml, 0.0, 1.0967254638671875e-05
fr, sh, 0.0, 1.1920928955078125e-05
fr, nl, 0.17142857142857143, 5.054473876953125e-05
fr, si, 0.0, 1.2874603271484375e-05
fr, pt, 0.22580645161290322, 4.124641418457031e-05
fr, ro, 0.0, 1.2636184692382812e-05
fr, ja, 0.0, 1.8596649169921875e-05
fr, simple, 0.3333333333333333, 1.2874603271484375e-05
fr, it, 0.25, 5.221366882324219e-05
fr, he, 0.0, 1.2874603271484375e-05
fr, da, 0.0, 1.1444091796875e-05
fr, en, 0.22807017543859648, 6.532669067382812e-05
fr, sr, 0.0, 1.2636184692382812e-05
fr, sv, 0.0, 1.71661376953125e-05
fr, ru, 0.0, 2.2649765014648438e-05
fr, hi, 0.0, 1.1920928955078125e-05
fr, bs, 0.3125, 4.553794860839844e-05
fr, zh, 0.0, 1.8596649169921875e-05
fr, mk, 0.0, 1.0251998901367188e-05
fr, hu, 0.0, 1.0967254638671875e-05
fr, ko, 0.0, 1.9073486328125e-05
mr, mr, 0.0, 1.2636184692382812e-05
mr, tr, 0.0, 1.2636184692382812e-05
mr, lv, 0.0, 1.1444091796875e-05
mr, el, 0.0, 1.0728836059570312e-05
mr, es, 0.0, 1.239776611328125e-05
mr, pl, 0.0, 1.1205673217773438e-05
mr, vi, 0.0, 1.1205673217773438e-05
mr, de, 0.0, 9.775161743164062e-06
mr, ml, 0.0, 9.5367431640625e-06
mr, sh, 0.0, 9.298324584960938e-06
mr, nl, 0.0, 1.6927719116210938e-05
mr, si, 0.0, 9.5367431640625e-06
mr, pt, 0.0, 1.0251998901367188e-05
mr, ro, 0.0, 1.811981201171875e-05
mr, ja, 0.0, 1.1920928955078125e-05
mr, simple, 0.0, 1.049041748046875e-05
mr, it, 0.0, 1.1444091796875e-05
mr, he, 0.0, 9.775161743164062e-06
mr, da, 0.0, 9.059906005859375e-06
mr, en, 0.0, 1.0967254638671875e-05
mr, sr, 0.0, 9.775161743164062e-06
mr, sv, 0.0, 9.775161743164062e-06
mr, ru, 0.0, 9.5367431640625e-06
mr, hi, 0.0, 9.775161743164062e-06
mr, bs, 0.0, 1.0251998901367188e-05
mr, zh, 0.0, 9.298324584960938e-06
mr, mk, 0.0, 9.298324584960938e-06
mr, hu, 0.0, 8.821487426757812e-06
mr, ko, 0.0, 9.059906005859375e-06
tr, tr, 1.0, 2.2411346435546875e-05
tr, lv, 0.0, 1.0967254638671875e-05
tr, el, 0.0, 1.2874603271484375e-05
tr, es, 0.2, 2.2172927856445312e-05
tr, pl, 0.3333333333333333, 1.621246337890625e-05
tr, vi, 0.0, 1.239776611328125e-05
tr, de, 0.7142857142857143, 2.0265579223632812e-05
tr, ml, 0.0, 1.0728836059570312e-05
tr, sh, 1.0, 1.1920928955078125e-05
tr, nl, 0.6, 2.3126602172851562e-05
tr, si, 0.0, 1.1205673217773438e-05
tr, pt, 0.25, 1.8835067749023438e-05
tr, ro, 0.0, 1.5497207641601562e-05
tr, ja, 0.0, 1.5735626220703125e-05
tr, simple, 0.0, 1.430511474609375e-05
tr, it, 0.2857142857142857, 2.3603439331054688e-05
tr, he, 0.0, 1.1920928955078125e-05
tr, da, 0.0, 1.0013580322265625e-05
tr, en, 0.35294117647058826, 4.649162292480469e-05
tr, sr, 0.0, 1.4066696166992188e-05
tr, sv, 0.125, 2.09808349609375e-05
tr, ru, 0.0, 1.811981201171875e-05
tr, hi, 0.0, 1.4781951904296875e-05
tr, bs, 0.46153846153846156, 2.9087066650390625e-05
tr, zh, 0.0, 1.811981201171875e-05
tr, mk, 0.0, 1.3589859008789062e-05
tr, hu, 0.0, 1.2159347534179688e-05
tr, ko, 0.0, 1.71661376953125e-05
lv, lv, 0.0, 1.2159347534179688e-05
lv, el, 0.0, 1.1682510375976562e-05
lv, es, 0.0, 1.4066696166992188e-05
lv, pl, 0.0, 1.2159347534179688e-05
lv, vi, 0.0, 1.1920928955078125e-05
lv, de, 0.0, 1.33514404296875e-05
lv, ml, 0.0, 1.1682510375976562e-05
lv, sh, 0.0, 1.3113021850585938e-05
lv, nl, 0.0, 1.33514404296875e-05
lv, si, 0.0, 1.2159347534179688e-05
lv, pt, 0.0, 1.239776611328125e-05
lv, ro, 0.0, 1.1444091796875e-05
lv, ja, 0.0, 1.1444091796875e-05
lv, simple, 0.0, 1.2874603271484375e-05
lv, it, 0.0, 1.2874603271484375e-05
lv, he, 0.0, 1.239776611328125e-05
lv, da, 0.0, 1.1444091796875e-05
