Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00023317337036132812
fr, tr, 1.0, 0.00011014938354492188
fr, pl, 1.0, 0.00010275840759277344
fr, de, 1.0, 0.00010132789611816406
fr, nl, 1.0, 0.0001049041748046875
fr, pt, 1.0, 9.822845458984375e-05
fr, ja, 1.0, 9.822845458984375e-05
fr, en, 1.0, 0.0001201629638671875
fr, ru, 1.0, 0.00010538101196289062
fr, union, 1.0, 9.822845458984375e-05
tr, tr, 1.0, 9.489059448242188e-05
tr, pl, 1.0, 9.369850158691406e-05
tr, de, 1.0, 9.489059448242188e-05
tr, nl, 1.0, 9.918212890625e-05
tr, pt, 1.0, 9.441375732421875e-05
tr, ja, 1.0, 9.417533874511719e-05
tr, en, 1.0, 9.322166442871094e-05
tr, ru, 1.0, 0.00011014938354492188
tr, union, 1.0, 9.775161743164062e-05
pl, pl, 1.0, 9.465217590332031e-05
pl, de, 1.0, 9.369850158691406e-05
pl, nl, 1.0, 9.655952453613281e-05
pl, pt, 1.0, 9.393692016601562e-05
pl, ja, 1.0, 9.393692016601562e-05
pl, en, 1.0, 9.298324584960938e-05
pl, ru, 1.0, 9.369850158691406e-05
pl, union, 1.0, 0.00010323524475097656
de, de, 1.0, 0.00010085105895996094
de, nl, 1.0, 9.560585021972656e-05
de, pt, 1.0, 9.322166442871094e-05
de, ja, 1.0, 9.274482727050781e-05
de, en, 1.0, 9.322166442871094e-05
de, ru, 1.0, 9.322166442871094e-05
de, union, 1.0, 9.5367431640625e-05
nl, nl, 2.002002002002002, 0.00011754035949707031
nl, pt, 1.0, 0.00010132789611816406
nl, ja, 1.0, 9.775161743164062e-05
nl, en, 1.0, 9.655952453613281e-05
nl, ru, 1.0, 9.679794311523438e-05
nl, union, 2.002002002002002, 0.0001277923583984375
pt, pt, 1.0, 0.00010085105895996094
pt, ja, 1.0, 9.655952453613281e-05
pt, en, 1.0, 9.441375732421875e-05
pt, ru, 1.0, 9.322166442871094e-05
pt, union, 1.0, 9.632110595703125e-05
ja, ja, 1.0, 9.369850158691406e-05
ja, en, 1.0, 9.393692016601562e-05
ja, ru, 1.0, 9.322166442871094e-05
ja, union, 1.0, 9.655952453613281e-05
en, en, 1.0, 9.34600830078125e-05
en, ru, 1.0, 9.298324584960938e-05
en, union, 1.0, 9.5367431640625e-05
ru, ru, 1.0, 9.322166442871094e-05
ru, union, 1.0, 9.584426879882812e-05
union, union, 2.002002002002002, 0.00010895729064941406
