Language1, Language2, SimilarityScore, Time
id, id, 0.0, 1.6927719116210938e-05
id, fr, 0.0, 1.0013580322265625e-05
id, es, 0.0, 9.5367431640625e-06
id, pl, 0.0, 9.5367431640625e-06
id, de, 0.0, 5.4836273193359375e-06
id, sh, 0.0, 5.0067901611328125e-06
id, nl, 0.0, 8.58306884765625e-06
id, si, 0.0, 9.298324584960938e-06
id, pt, 0.0, 8.344650268554688e-06
id, ro, 0.0, 8.58306884765625e-06
id, simple, 0.0, 8.821487426757812e-06
id, he, 0.0, 8.821487426757812e-06
id, da, 0.0, 9.059906005859375e-06
id, en, 0.0, 9.059906005859375e-06
id, sv, 0.0, 9.059906005859375e-06
id, ckb, 0.0, 8.344650268554688e-06
id, ru, 0.0, 8.58306884765625e-06
id, te, 0.0, 8.58306884765625e-06
id, zh, 0.0, 9.059906005859375e-06
id, ko, 0.0, 8.58306884765625e-06
fr, fr, 0.0, 8.106231689453125e-06
fr, es, 0.0, 8.106231689453125e-06
fr, pl, 0.0, 8.58306884765625e-06
fr, de, 0.0, 5.0067901611328125e-06
fr, sh, 0.0, 5.0067901611328125e-06
fr, nl, 0.0, 8.344650268554688e-06
fr, si, 0.0, 8.344650268554688e-06
fr, pt, 0.0, 8.344650268554688e-06
fr, ro, 0.0, 8.58306884765625e-06
fr, simple, 0.0, 8.344650268554688e-06
fr, he, 0.0, 8.106231689453125e-06
fr, da, 0.0, 8.106231689453125e-06
fr, en, 0.0, 8.58306884765625e-06
fr, sv, 0.0, 9.298324584960938e-06
fr, ckb, 0.0, 8.821487426757812e-06
fr, ru, 0.0, 8.344650268554688e-06
fr, te, 0.0, 8.58306884765625e-06
fr, zh, 0.0, 8.821487426757812e-06
fr, ko, 0.0, 8.106231689453125e-06
es, es, 0.0, 8.344650268554688e-06
es, pl, 0.0, 8.344650268554688e-06
es, de, 0.0, 4.76837158203125e-06
es, sh, 0.0, 8.58306884765625e-06
es, nl, 0.0, 8.821487426757812e-06
es, si, 0.0, 8.106231689453125e-06
