Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.0265579223632812e-05
id, fr, 1.0, 1.1444091796875e-05
id, es, 1.0, 1.049041748046875e-05
id, pl, 1.0, 1.0251998901367188e-05
id, de, 1.0, 6.9141387939453125e-06
id, sh, 1.0, 6.4373016357421875e-06
id, nl, 1.0, 1.0013580322265625e-05
id, si, 1.0, 9.775161743164062e-06
id, pt, 1.0, 9.775161743164062e-06
id, ro, 1.0, 9.298324584960938e-06
id, simple, 1.0, 9.775161743164062e-06
id, he, 1.0, 9.775161743164062e-06
id, da, 1.0, 9.5367431640625e-06
id, en, 1.0, 1.6689300537109375e-05
id, sv, 1.0, 1.0013580322265625e-05
id, ckb, 1.0, 9.5367431640625e-06
id, ru, 1.0, 9.775161743164062e-06
id, te, 1.0, 9.5367431640625e-06
id, zh, 1.0, 9.298324584960938e-06
id, ko, 1.0, 9.298324584960938e-06
fr, fr, 1.0, 9.298324584960938e-06
fr, es, 1.0, 9.775161743164062e-06
fr, pl, 1.0, 9.5367431640625e-06
fr, de, 1.0, 6.67572021484375e-06
fr, sh, 1.0, 6.198883056640625e-06
fr, nl, 1.0, 9.775161743164062e-06
fr, si, 1.0, 9.5367431640625e-06
fr, pt, 1.0, 9.5367431640625e-06
fr, ro, 1.0, 9.059906005859375e-06
fr, simple, 1.0, 9.775161743164062e-06
fr, he, 1.0, 9.5367431640625e-06
fr, da, 1.0, 9.298324584960938e-06
fr, en, 1.0, 9.298324584960938e-06
fr, sv, 1.0, 9.775161743164062e-06
fr, ckb, 1.0, 9.298324584960938e-06
fr, ru, 1.0, 9.775161743164062e-06
fr, te, 1.0, 9.5367431640625e-06
fr, zh, 1.0, 9.5367431640625e-06
fr, ko, 1.0, 9.775161743164062e-06
es, es, 1.0, 1.0013580322265625e-05
es, pl, 1.0, 9.775161743164062e-06
es, de, 1.0, 6.4373016357421875e-06
es, sh, 1.0, 9.775161743164062e-06
es, nl, 1.0, 9.298324584960938e-06
es, si, 1.0, 9.5367431640625e-06
es, pt, 1.0, 9.775161743164062e-06
es, ro, 1.0, 9.298324584960938e-06
es, simple, 1.0, 2.3365020751953125e-05
es, he, 1.0, 9.5367431640625e-06
es, da, 1.0, 9.298324584960938e-06
es, en, 1.0, 1.0013580322265625e-05
es, sv, 1.0, 9.5367431640625e-06
es, ckb, 1.0, 9.5367431640625e-06
es, ru, 1.0, 9.775161743164062e-06
es, te, 1.0, 9.775161743164062e-06
es, zh, 1.0, 9.5367431640625e-06
es, ko, 1.0, 9.775161743164062e-06
pl, pl, 1.0, 9.775161743164062e-06
pl, de, 1.0, 6.4373016357421875e-06
pl, sh, 1.0, 6.198883056640625e-06
pl, nl, 1.0, 9.775161743164062e-06
pl, si, 1.0, 9.775161743164062e-06
pl, pt, 1.0, 9.775161743164062e-06
pl, ro, 1.0, 9.5367431640625e-06
pl, simple, 1.0, 9.059906005859375e-06
pl, he, 1.0, 9.5367431640625e-06
pl, da, 1.0, 9.298324584960938e-06
pl, en, 1.0, 9.5367431640625e-06
pl, sv, 1.0, 9.5367431640625e-06
pl, ckb, 1.0, 9.5367431640625e-06
pl, ru, 1.0, 9.5367431640625e-06
pl, te, 1.0, 9.298324584960938e-06
pl, zh, 1.0, 9.775161743164062e-06
pl, ko, 1.0, 9.5367431640625e-06
de, de, 1.0, 9.775161743164062e-06
de, sh, 1.0, 6.198883056640625e-06
de, nl, 1.0, 6.198883056640625e-06
de, si, 1.0, 6.4373016357421875e-06
de, pt, 1.0, 6.4373016357421875e-06
de, ro, 1.0, 6.67572021484375e-06
de, simple, 1.0, 6.4373016357421875e-06
