Language1, Language2, SimilarityScore, Kernel, Time
fr, fr, 1.0, 1.0225000000000009, 0.0001819133758544922
fr, tr, 1.0, 1.0, 6.532669067382812e-05
fr, es, 1.0, 1.0225000000000009, 0.00010633468627929688
fr, pl, 1.0, 1.0, 6.246566772460938e-05
fr, vi, 1.0, 1.0, 5.984306335449219e-05
fr, de, 1.0, 1.0225000000000009, 0.00010085105895996094
fr, nl, 1.0, 1.0, 5.9604644775390625e-05
fr, pt, 1.0, 1.0, 5.9604644775390625e-05
fr, ja, 1.0, 1.0, 5.888938903808594e-05
fr, simple, 1.0, 1.0, 5.888938903808594e-05
fr, it, 1.0, 1.0225000000000009, 9.989738464355469e-05
fr, he, 1.0, 1.0, 5.793571472167969e-05
fr, da, 1.0, 1.0, 5.817413330078125e-05
fr, en, 0.5660160774121898, 1.0391304347826091, 0.00010514259338378906
fr, sv, 1.0, 1.0, 5.91278076171875e-05
fr, ckb, 1.0, 1.0, 5.7697296142578125e-05
fr, ru, 1.0, 1.0, 6.079673767089844e-05
fr, zh, 1.0, 1.0, 5.888938903808594e-05
fr, hu, 1.0, 1.0, 6.198883056640625e-05
fr, ko, 1.0, 1.0225000000000009, 0.00010132789611816406
tr, tr, 1.0, 1.0, 5.936622619628906e-05
tr, es, 1.0, 1.0, 5.841255187988281e-05
tr, pl, 1.0, 1.0, 5.984306335449219e-05
tr, vi, 1.0, 1.0, 5.936622619628906e-05
tr, de, 1.0, 1.0, 5.936622619628906e-05
tr, nl, 1.0, 1.0, 5.9604644775390625e-05
tr, pt, 1.0, 1.0, 6.079673767089844e-05
tr, ja, 1.0, 1.0, 5.984306335449219e-05
tr, simple, 1.0, 1.0, 6.079673767089844e-05
tr, it, 1.0, 1.0, 6.031990051269531e-05
tr, he, 1.0, 1.0, 6.031990051269531e-05
tr, da, 1.0, 1.0, 6.008148193359375e-05
tr, en, 1.0, 1.0, 6.103515625e-05
tr, sv, 1.0, 1.0, 6.008148193359375e-05
tr, ckb, 1.0, 1.0, 6.341934204101562e-05
tr, ru, 1.0, 1.0, 6.127357482910156e-05
tr, zh, 1.0, 1.0, 6.008148193359375e-05
tr, hu, 1.0, 1.0, 6.103515625e-05
tr, ko, 1.0, 1.0, 6.0558319091796875e-05
es, es, 1.0, 1.0225000000000009, 0.00012183189392089844
es, pl, 1.0, 1.0, 5.936622619628906e-05
es, vi, 1.0, 1.0, 5.817413330078125e-05
es, de, 1.0, 1.0225000000000009, 0.0001010894775390625
es, nl, 1.0, 1.0, 5.841255187988281e-05
es, pt, 1.0, 1.0, 5.888938903808594e-05
es, ja, 1.0, 1.0, 6.008148193359375e-05
es, simple, 1.0, 1.0, 5.841255187988281e-05
es, it, 1.0, 1.0225000000000009, 0.00010204315185546875
es, he, 1.0, 1.0, 5.888938903808594e-05
es, da, 1.0, 1.0, 5.984306335449219e-05
es, en, 0.5660160774121898, 1.0391304347826091, 0.00010323524475097656
es, sv, 1.0, 1.0, 6.127357482910156e-05
es, ckb, 1.0, 1.0, 5.936622619628906e-05
es, ru, 1.0, 1.0, 5.7697296142578125e-05
es, zh, 1.0, 1.0, 5.936622619628906e-05
es, hu, 1.0, 1.0, 5.841255187988281e-05
es, ko, 1.0, 1.0225000000000009, 0.00010418891906738281
pl, pl, 1.0, 1.0, 5.817413330078125e-05
pl, vi, 1.0, 1.0, 6.008148193359375e-05
pl, de, 1.0, 1.0, 5.936622619628906e-05
pl, nl, 1.0, 1.0, 6.127357482910156e-05
pl, pt, 1.0, 1.0, 5.9604644775390625e-05
pl, ja, 1.0, 1.0, 5.745887756347656e-05
pl, simple, 1.0, 1.0, 5.8650970458984375e-05
pl, it, 1.0, 1.0, 5.888938903808594e-05
pl, he, 1.0, 1.0, 5.91278076171875e-05
pl, da, 1.0, 1.0, 5.91278076171875e-05
pl, en, 1.0, 1.0, 6.0558319091796875e-05
pl, sv, 1.0, 1.0, 5.936622619628906e-05
pl, ckb, 1.0, 1.0, 5.936622619628906e-05
pl, ru, 1.0, 1.0, 5.91278076171875e-05
pl, zh, 1.0, 1.0, 5.817413330078125e-05
pl, hu, 1.0, 1.0, 5.9604644775390625e-05
pl, ko, 1.0, 1.0, 5.8650970458984375e-05
vi, vi, 1.0, 1.0225000000000009, 0.0001068115234375
vi, de, 1.0, 1.0, 5.745887756347656e-05
vi, nl, 1.0, 1.0, 5.9604644775390625e-05
vi, pt, 1.0, 1.0, 6.0558319091796875e-05
vi, ja, 1.0, 1.0, 5.984306335449219e-05
vi, simple, 1.0, 1.0, 5.91278076171875e-05
vi, it, 1.0, 1.0225000000000009, 0.00010395050048828125
vi, he, 1.0, 1.0, 5.817413330078125e-05
vi, da, 1.0, 1.0, 5.888938903808594e-05
vi, en, 0.5660160774121898, 1.0391304347826091, 0.000102996826171875
vi, sv, 1.0, 1.0225000000000009, 0.00010228157043457031
vi, ckb, 1.0, 1.0, 5.793571472167969e-05
vi, ru, 1.0, 1.0, 6.008148193359375e-05
vi, zh, 1.0, 1.0, 5.984306335449219e-05
vi, hu, 1.0, 1.0, 5.841255187988281e-05
vi, ko, 1.0, 1.0, 5.745887756347656e-05
de, de, 1.0, 1.0225000000000009, 9.870529174804688e-05
de, nl, 1.0, 1.0, 6.031990051269531e-05
de, pt, 1.0, 1.0, 5.91278076171875e-05
de, ja, 1.0, 1.0, 5.91278076171875e-05
de, simple, 1.0, 1.0, 6.031990051269531e-05
de, it, 1.0, 1.0225000000000009, 0.00010013580322265625
de, he, 1.0, 1.0, 5.7220458984375e-05
de, da, 1.0, 1.0, 5.936622619628906e-05
de, en, 0.5660160774121898, 1.0391304347826091, 0.00010156631469726562
de, sv, 1.0, 1.0, 5.8650970458984375e-05
de, ckb, 1.0, 1.0, 5.817413330078125e-05
de, ru, 1.0, 1.0, 5.7220458984375e-05
de, zh, 1.0, 1.0, 5.91278076171875e-05
de, hu, 1.0, 1.0, 6.008148193359375e-05
de, ko, 1.0, 1.0225000000000009, 0.00010228157043457031
nl, nl, 1.0, 1.100030778701139, 0.00010061264038085938
nl, pt, 1.0, 1.0, 5.936622619628906e-05
nl, ja, 1.0, 1.0, 5.888938903808594e-05
nl, simple, 1.0, 1.0, 6.008148193359375e-05
nl, it, 1.0, 1.0, 5.745887756347656e-05
nl, he, 1.0, 1.0, 5.817413330078125e-05
nl, da, 1.0, 1.0, 5.936622619628906e-05
nl, en, 1.0, 1.100030778701139, 0.0001049041748046875
nl, sv, 1.0, 1.0, 6.151199340820312e-05
nl, ckb, 1.0, 1.0, 6.008148193359375e-05
nl, ru, 1.0, 1.0, 5.841255187988281e-05
nl, zh, 1.0, 1.0, 6.103515625e-05
nl, hu, 1.0, 1.0, 5.91278076171875e-05
nl, ko, 1.0, 1.0, 5.888938903808594e-05
pt, pt, 1.0, 1.0, 5.841255187988281e-05
pt, ja, 1.0, 1.0, 7.081031799316406e-05
pt, simple, 1.0, 1.0, 5.745887756347656e-05
pt, it, 1.0, 1.0, 5.9604644775390625e-05
pt, he, 1.0, 1.0, 5.841255187988281e-05
pt, da, 1.0, 1.0, 5.841255187988281e-05
pt, en, 1.0, 1.0, 6.127357482910156e-05
pt, sv, 1.0, 1.0, 5.936622619628906e-05
pt, ckb, 1.0, 1.0, 5.841255187988281e-05
pt, ru, 1.0, 1.0, 5.936622619628906e-05
pt, zh, 1.0, 1.0, 5.7697296142578125e-05
pt, hu, 1.0, 1.0, 5.841255187988281e-05
pt, ko, 1.0, 1.0, 5.91278076171875e-05
ja, ja, 1.0, 1.0450000000000004, 0.0001475811004638672
ja, simple, 1.0, 1.0, 5.841255187988281e-05
ja, it, 1.0, 1.0, 5.91278076171875e-05
ja, he, 1.0, 1.0, 5.8650970458984375e-05
ja, da, 1.0, 1.0, 5.91278076171875e-05
ja, en, 1.0, 1.0, 6.079673767089844e-05
ja, sv, 1.0, 1.0, 5.91278076171875e-05
