Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 7.700920104980469e-05
fr, tr, 0.43526109167898114, 2.288818359375e-05
fr, es, 1.0, 1.9311904907226562e-05
fr, pl, 1.0, 1.8358230590820312e-05
fr, vi, 1.0, 1.811981201171875e-05
fr, de, 1.0, 1.8358230590820312e-05
fr, nl, 0.7510341748895937, 1.7881393432617188e-05
fr, pt, 1.0, 1.7881393432617188e-05
fr, ja, 1.0, 1.8358230590820312e-05
fr, simple, 1.0, 1.9311904907226562e-05
fr, it, 1.0, 1.9311904907226562e-05
fr, he, 1.0, 1.811981201171875e-05
fr, da, 1.0, 1.8358230590820312e-05
fr, en, 0.4091887101156302, 1.7881393432617188e-05
fr, sv, 1.0, 1.8596649169921875e-05
fr, ckb, 1.0, 1.8596649169921875e-05
fr, ru, 1.0, 1.7881393432617188e-05
fr, zh, 1.0, 1.7642974853515625e-05
fr, hu, 1.0, 1.7881393432617188e-05
fr, ko, 1.0, 1.7404556274414062e-05
fr, union, 0.44763465233020994, 1.811981201171875e-05
tr, tr, 1.0, 1.7642974853515625e-05
tr, es, 0.43526109167898114, 1.7642974853515625e-05
tr, pl, 0.43526109167898114, 1.7881393432617188e-05
tr, vi, 0.43526109167898114, 1.7881393432617188e-05
tr, de, 0.43526109167898114, 1.7881393432617188e-05
tr, nl, 0.48736110761512386, 1.7881393432617188e-05
tr, pt, 0.43526109167898114, 1.7881393432617188e-05
tr, ja, 0.43526109167898114, 1.7881393432617188e-05
tr, simple, 0.43526109167898114, 1.7881393432617188e-05
tr, it, 0.43526109167898114, 1.7642974853515625e-05
tr, he, 0.43526109167898114, 1.7642974853515625e-05
tr, da, 0.43526109167898114, 1.7881393432617188e-05
tr, en, 0.5185125833159195, 1.7642974853515625e-05
tr, sv, 0.43526109167898114, 1.7642974853515625e-05
tr, ckb, 0.43526109167898114, 1.7881393432617188e-05
tr, ru, 0.43526109167898114, 1.7881393432617188e-05
tr, zh, 0.43526109167898114, 1.9311904907226562e-05
tr, hu, 0.43526109167898114, 1.7642974853515625e-05
tr, ko, 0.43526109167898114, 1.811981201171875e-05
tr, union, 0.4686753909343076, 1.7881393432617188e-05
es, es, 1.0, 1.811981201171875e-05
es, pl, 1.0, 1.7642974853515625e-05
es, vi, 1.0, 1.7404556274414062e-05
es, de, 1.0, 1.811981201171875e-05
es, nl, 0.7510341748895937, 1.7881393432617188e-05
es, pt, 1.0, 1.7881393432617188e-05
es, ja, 1.0, 1.7642974853515625e-05
es, simple, 1.0, 1.8358230590820312e-05
es, it, 1.0, 1.8358230590820312e-05
es, he, 1.0, 1.811981201171875e-05
es, da, 1.0, 1.7881393432617188e-05
es, en, 0.4091887101156302, 1.7881393432617188e-05
es, sv, 1.0, 1.8358230590820312e-05
es, ckb, 1.0, 1.7881393432617188e-05
es, ru, 1.0, 1.811981201171875e-05
es, zh, 1.0, 1.7642974853515625e-05
es, hu, 1.0, 1.7881393432617188e-05
es, ko, 1.0, 1.7881393432617188e-05
es, union, 0.44763465233020994, 1.7642974853515625e-05
pl, pl, 1.0, 1.7881393432617188e-05
pl, vi, 1.0, 1.811981201171875e-05
pl, de, 1.0, 1.8358230590820312e-05
pl, nl, 0.7510341748895937, 1.7881393432617188e-05
pl, pt, 1.0, 2.5033950805664062e-05
pl, ja, 1.0, 1.7642974853515625e-05
pl, simple, 1.0, 1.7642974853515625e-05
pl, it, 1.0, 1.7642974853515625e-05
pl, he, 1.0, 1.7404556274414062e-05
pl, da, 1.0, 1.7404556274414062e-05
