Language1, Language2, SimilarityScore, Time
fr, fr, 0.5, 0.003993034362792969
fr, es, 0.0, 9.107589721679688e-05
fr, de, 0.0, 3.075599670410156e-05
fr, ro, 1.0, 0.000148773193359375
fr, ja, 1.0, 0.00010466575622558594
fr, en, 1.0, 0.00010347366333007812
fr, ru, 1.0, 9.703636169433594e-05
fr, zh, 1.0, 9.489059448242188e-05
fr, hu, 1.0, 9.512901306152344e-05
fr, union, 0.5, 0.00010609626770019531
es, es, 1.0, 9.465217590332031e-05
es, de, 0.0, 3.528594970703125e-05
es, ro, 0.0, 2.5510787963867188e-05
es, ja, 0.0, 2.4080276489257812e-05
es, en, 0.0, 2.4080276489257812e-05
es, ru, 0.0, 2.3603439331054688e-05
es, zh, 0.0, 3.170967102050781e-05
es, hu, 1.0, 9.036064147949219e-05
es, union, 1.0, 9.870529174804688e-05
de, de, 1.0, 9.775161743164062e-05
de, ro, 0.0, 3.5762786865234375e-05
de, ja, 0.0, 2.7418136596679688e-05
de, en, 0.0, 2.5033950805664062e-05
de, ru, 0.0, 2.4557113647460938e-05
de, zh, 0.0, 2.4080276489257812e-05
de, hu, 0.0, 2.5272369384765625e-05
de, union, 1.0, 8.940696716308594e-05
ro, ro, 0.5, 0.0001068115234375
ro, ja, 0.0, 3.647804260253906e-05
ro, en, 0.0, 2.7418136596679688e-05
ro, ru, 1.0, 8.916854858398438e-05
ro, zh, 0.0, 3.457069396972656e-05
ro, hu, 0.5, 9.489059448242188e-05
ro, union, 0.5, 0.00010180473327636719
ja, ja, 0.3333333333333333, 0.00011420249938964844
ja, en, 1.0, 0.00010180473327636719
ja, ru, 0.0, 3.695487976074219e-05
ja, zh, 1.0, 8.893013000488281e-05
ja, hu, 1.0, 9.703636169433594e-05
ja, union, 0.3333333333333333, 0.00012683868408203125
en, en, 0.5, 0.00011372566223144531
en, ru, 1.0, 0.00010251998901367188
en, zh, 1.0, 9.918212890625e-05
en, hu, 0.0, 3.7670135498046875e-05
en, union, 0.5, 9.918212890625e-05
ru, ru, 0.5, 0.00010442733764648438
ru, zh, 0.0, 3.695487976074219e-05
ru, hu, 1.0, 9.465217590332031e-05
ru, union, 0.5, 0.00010418891906738281
zh, zh, 1.0, 9.799003601074219e-05
zh, hu, 0.0, 3.695487976074219e-05
zh, union, 1.0, 0.0001010894775390625
hu, hu, 0.2, 0.010683774948120117
hu, union, 0.2, 0.003928184509277344
union, union, 0.1111111111111111, 0.00029540061950683594
