Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0009593963623046875
id, fr, 1.0, 0.001129150390625
id, mr, 1.0, 6.365776062011719e-05
id, tr, 1.0, 0.00027298927307128906
id, lv, 1.0, 9.298324584960938e-05
id, el, 1.0, 0.0001556873321533203
id, es, 1.0, 0.0008449554443359375
id, pl, 1.0, 0.0005538463592529297
id, vi, 1.0, 0.00022339820861816406
id, de, 1.0, 0.000583648681640625
id, ml, 1.0, 8.821487426757812e-05
id, sh, 1.0, 0.0004973411560058594
id, nl, 1.0, 0.0008068084716796875
id, si, 1.0, 2.8848648071289062e-05
id, pt, 1.0, 0.0009388923645019531
id, ro, 1.0, 0.0001895427703857422
id, ja, 1.0, 0.0003306865692138672
id, simple, 1.0, 0.00017905235290527344
id, it, 1.0, 0.0016856193542480469
id, ceb, 1.0, 1.2159347534179688e-05
id, he, 1.0, 0.00014638900756835938
id, da, 1.0, 0.00025534629821777344
id, en, 1.0, 0.004666805267333984
id, sr, 1.0, 0.0003612041473388672
id, sv, 1.0, 0.0004572868347167969
id, ckb, 1.0, 2.7894973754882812e-05
id, ru, 1.0, 0.0004985332489013672
id, hi, 1.0, 0.00011444091796875
id, arz, 1.0, 4.7206878662109375e-05
id, bs, 1.0, 9.393692016601562e-05
id, te, 1.0, 4.696846008300781e-05
id, zh, 1.0, 0.00032329559326171875
id, mk, 1.0, 0.00011110305786132812
id, hu, 1.0, 0.00016379356384277344
id, ko, 1.0, 0.0003056526184082031
id, war, 1.0, 2.574920654296875e-05
fr, fr, 1.0, 0.0014832019805908203
fr, mr, 1.0, 4.0531158447265625e-05
fr, tr, 1.0, 0.00027751922607421875
fr, lv, 1.0, 7.82012939453125e-05
fr, el, 1.0, 0.00012946128845214844
fr, es, 1.0, 0.0013501644134521484
fr, pl, 1.0, 0.0009157657623291016
fr, vi, 1.0, 0.00030684471130371094
fr, de, 1.0, 0.0010564327239990234
fr, ml, 1.0, 0.00010418891906738281
fr, sh, 1.0, 0.0006854534149169922
fr, nl, 1.0, 0.0006427764892578125
fr, si, 1.0, 1.8596649169921875e-05
fr, pt, 1.0, 0.0007407665252685547
fr, ro, 1.0, 0.00019407272338867188
fr, ja, 1.0, 0.00034236907958984375
fr, simple, 1.0, 0.00020051002502441406
fr, it, 1.0, 0.21493101119995117
fr, ceb, 1.0, 2.4557113647460938e-05
fr, he, 1.0, 0.0005435943603515625
fr, da, 1.0, 0.0006470680236816406
fr, en, 1.0, 0.007586956024169922
fr, sr, 1.0, 0.0015540122985839844
fr, sv, 1.0, 0.0007636547088623047
fr, ckb, 1.0, 2.8848648071289062e-05
fr, ru, 1.0, 0.002470254898071289
fr, hi, 1.0, 0.00010323524475097656
fr, arz, 1.0, 5.793571472167969e-05
fr, bs, 1.0, 9.584426879882812e-05
fr, te, 1.0, 3.0994415283203125e-05
fr, zh, 1.0, 0.0005502700805664062
fr, mk, 1.0, 0.0001342296600341797
fr, hu, 1.0, 0.0002894401550292969
fr, ko, 1.0, 0.0005357265472412109
fr, war, 1.0, 3.0994415283203125e-05
mr, mr, 1.0, 1.8835067749023438e-05
mr, tr, 1.0, 1.8358230590820312e-05
mr, lv, 1.0, 1.5497207641601562e-05
mr, el, 1.0, 1.4781951904296875e-05
mr, es, 1.0, 5.3882598876953125e-05
mr, pl, 1.0, 7.891654968261719e-05
mr, vi, 1.0, 1.8596649169921875e-05
mr, de, 1.0, 7.677078247070312e-05
mr, ml, 1.0, 1.5974044799804688e-05
mr, sh, 1.0, 3.5762786865234375e-05
mr, nl, 1.0, 7.343292236328125e-05
mr, si, 1.0, 1.3828277587890625e-05
mr, pt, 1.0, 8.630752563476562e-05
mr, ro, 1.0, 2.002716064453125e-05
mr, ja, 1.0, 1.8596649169921875e-05
mr, simple, 1.0, 2.9325485229492188e-05
mr, it, 1.0, 0.0001304149627685547
mr, ceb, 1.0, 1.1682510375976562e-05
mr, he, 1.0, 1.7881393432617188e-05
mr, da, 1.0, 4.76837158203125e-05
mr, en, 1.0, 0.0002918243408203125
mr, sr, 1.0, 2.0742416381835938e-05
mr, sv, 1.0, 5.125999450683594e-05
mr, ckb, 1.0, 1.1682510375976562e-05
mr, ru, 1.0, 1.9311904907226562e-05
mr, hi, 1.0, 1.6927719116210938e-05
mr, arz, 1.0, 1.1682510375976562e-05
mr, bs, 1.0, 1.9788742065429688e-05
mr, te, 1.0, 2.4080276489257812e-05
mr, zh, 1.0, 3.647804260253906e-05
mr, mk, 1.0, 1.2636184692382812e-05
mr, hu, 1.0, 1.7404556274414062e-05
mr, ko, 1.0, 1.71661376953125e-05
mr, war, 1.0, 1.0967254638671875e-05
tr, tr, 1.0, 7.748603820800781e-05
tr, lv, 1.0, 2.2411346435546875e-05
tr, el, 1.0, 3.695487976074219e-05
tr, es, 1.0, 0.00026869773864746094
tr, pl, 1.0, 0.0002467632293701172
tr, vi, 1.0, 4.2438507080078125e-05
tr, de, 1.0, 0.00024628639221191406
tr, ml, 1.0, 2.0503997802734375e-05
tr, sh, 1.0, 0.0002033710479736328
tr, nl, 1.0, 0.0002357959747314453
tr, si, 1.0, 1.2159347534179688e-05
tr, pt, 1.0, 0.0004444122314453125
tr, ro, 1.0, 4.887580871582031e-05
tr, ja, 1.0, 4.839897155761719e-05
tr, simple, 1.0, 5.1021575927734375e-05
tr, it, 1.0, 0.0010581016540527344
tr, ceb, 1.0, 1.1920928955078125e-05
tr, he, 1.0, 4.363059997558594e-05
tr, da, 1.0, 0.00025177001953125
tr, en, 1.0, 0.0024938583374023438
tr, sr, 1.0, 5.7220458984375e-05
tr, sv, 1.0, 0.0002048015594482422
tr, ckb, 1.0, 1.2636184692382812e-05
tr, ru, 1.0, 6.222724914550781e-05
tr, hi, 1.0, 2.0503997802734375e-05
tr, arz, 1.0, 1.239776611328125e-05
tr, bs, 1.0, 4.5299530029296875e-05
tr, te, 1.0, 1.1682510375976562e-05
