Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0009233951568603516
id, fr, 0.5159128978224455, 0.0014982223510742188
id, mr, 0.1038961038961039, 0.00043129920959472656
id, tr, 0.4611872146118721, 0.0004563331604003906
id, lv, 0.18441558441558442, 0.00042891502380371094
id, el, 0.33496332518337407, 0.0004322528839111328
id, es, 0.5538194444444444, 0.0009529590606689453
id, pl, 0.4393939393939394, 0.0007815361022949219
id, vi, 0.3759036144578313, 0.0004525184631347656
id, de, 0.42071197411003236, 0.0008633136749267578
id, ml, 0.13385826771653545, 0.0004215240478515625
id, sh, 0.41284403669724773, 0.0006432533264160156
id, nl, 0.4572025052192067, 0.001262664794921875
id, si, 0.037333333333333336, 0.00042057037353515625
id, pt, 0.5891783567134269, 0.0009756088256835938
id, ro, 0.3516209476309227, 0.0004451274871826172
id, ja, 0.47689075630252103, 0.0004563331604003906
id, simple, 0.22715404699738903, 0.00044608116149902344
id, it, 0.5127768313458262, 0.004548549652099609
id, ceb, 0.005376344086021506, 0.0004067420959472656
id, he, 0.42822966507177035, 0.0004112720489501953
id, da, 0.32338308457711445, 0.0007283687591552734
id, en, 0.4993234100135318, 0.008673667907714844
id, sr, 0.5032537960954447, 0.0005421638488769531
id, sv, 0.4636363636363636, 0.0006852149963378906
id, ckb, 0.02956989247311828, 0.0004284381866455078
id, ru, 0.5015015015015015, 0.00048089027404785156
id, hi, 0.17585301837270342, 0.00042510032653808594
id, arz, 0.058981233243967826, 0.00041675567626953125
id, bs, 0.128686327077748, 0.0004432201385498047
id, te, 0.03183023872679045, 0.0004115104675292969
id, zh, 0.5075921908893709, 0.0004515647888183594
id, mk, 0.22137404580152673, 0.0004315376281738281
id, hu, 0.3251231527093596, 0.0005156993865966797
id, ko, 0.4713656387665198, 0.0004534721374511719
id, war, 0.043010752688172046, 0.0004143714904785156
id, union, 0.39034627492130114, 0.017135143280029297
fr, fr, 1.0, 0.001352548599243164
fr, mr, 0.08518518518518518, 0.0005445480346679688
fr, tr, 0.41519434628975266, 0.0005452632904052734
fr, lv, 0.13837638376383765, 0.0005056858062744141
fr, el, 0.27617328519855594, 0.0005238056182861328
fr, es, 0.6196319018404908, 0.0008335113525390625
fr, pl, 0.478330658105939, 0.0007164478302001953
fr, vi, 0.32849364791288566, 0.0005357265472412109
fr, de, 0.4949640287769784, 0.0007467269897460938
fr, ml, 0.10223048327137546, 0.00048828125
fr, sh, 0.3631578947368421, 0.0006377696990966797
fr, nl, 0.4388609715242881, 0.0012087821960449219
fr, si, 0.0299625468164794, 0.0005121231079101562
fr, pt, 0.5742574257425742, 0.0008683204650878906
fr, ro, 0.27586206896551724, 0.0005257129669189453
fr, ja, 0.47440273037542663, 0.0005373954772949219
fr, simple, 0.17723880597014927, 0.0005266666412353516
fr, it, 0.6213292117465224, 0.003008127212524414
fr, ceb, 0.00375234521575985, 0.0005400180816650391
fr, he, 0.36330935251798563, 0.0005071163177490234
fr, da, 0.2785977859778598, 0.0007123947143554688
fr, en, 0.6763540290620872, 0.0047419071197509766
fr, sr, 0.4800693240901213, 0.0005645751953125
fr, sv, 0.447841726618705, 0.0006685256958007812
fr, ckb, 0.020637898686679174, 0.0005445480346679688
fr, ru, 0.6329113924050633, 0.0005929470062255859
fr, hi, 0.11131386861313869, 0.000530242919921875
fr, arz, 0.03731343283582089, 0.0005002021789550781
fr, bs, 0.08582089552238806, 0.0005221366882324219
fr, te, 0.028037383177570093, 0.0004851818084716797
fr, zh, 0.47079037800687284, 0.0005235671997070312
fr, mk, 0.18484288354898337, 0.0005195140838623047
fr, hu, 0.27090909090909093, 0.0005192756652832031
fr, ko, 0.4317789291882556, 0.0005216598510742188
fr, war, 0.0300187617260788, 0.0004990100860595703
fr, union, 0.559286463798531, 0.010485410690307617
mr, mr, 1.0, 2.3603439331054688e-05
mr, tr, 0.12237762237762238, 2.9087066650390625e-05
mr, lv, 0.1810344827586207, 1.7404556274414062e-05
mr, el, 0.15816326530612246, 1.6927719116210938e-05
mr, es, 0.08679245283018867, 0.00027060508728027344
mr, pl, 0.08620689655172414, 0.0001971721649169922
mr, vi, 0.13004484304932734, 2.002716064453125e-05
mr, de, 0.091796875, 0.00023412704467773438
mr, ml, 0.2840909090909091, 1.4543533325195312e-05
mr, sh, 0.12927756653992395, 0.00012254714965820312
mr, nl, 0.11799410029498525, 0.0004715919494628906
mr, si, 0.07692307692307693, 1.1205673217773438e-05
mr, pt, 0.09722222222222222, 0.00029921531677246094
mr, ro, 0.16753926701570682, 2.384185791015625e-05
mr, ja, 0.13274336283185842, 2.8371810913085938e-05
mr, simple, 0.25833333333333336, 2.8133392333984375e-05
mr, it, 0.09003831417624521, 0.002286195755004883
mr, ceb, 0.03773584905660377, 1.6450881958007812e-05
mr, he, 0.13934426229508196, 1.9788742065429688e-05
mr, da, 0.17679558011049723, 0.0001990795135498047
mr, en, 0.07201086956521739, 0.003800630569458008
