Language1, Language2, SimilarityScore, Time
es, es, 1.0, 8.273124694824219e-05
es, pt, 1.0, 2.5272369384765625e-05
es, simple, 1.0, 2.1457672119140625e-05
es, he, 1.0, 2.09808349609375e-05
es, en, 1.0, 2.002716064453125e-05
es, sv, 1.0, 1.9073486328125e-05
es, union, 1.0, 1.8596649169921875e-05
pt, pt, 1.0, 1.8835067749023438e-05
pt, simple, 1.0, 1.9311904907226562e-05
pt, he, 1.0, 1.7404556274414062e-05
pt, en, 1.0, 1.7404556274414062e-05
pt, sv, 1.0, 1.71661376953125e-05
pt, union, 1.0, 1.6689300537109375e-05
simple, simple, 1.0, 1.6689300537109375e-05
simple, he, 1.0, 1.7404556274414062e-05
simple, en, 1.0, 1.7404556274414062e-05
simple, sv, 1.0, 1.6927719116210938e-05
simple, union, 1.0, 1.7404556274414062e-05
he, he, 1.0, 1.71661376953125e-05
he, en, 1.0, 1.7404556274414062e-05
he, sv, 1.0, 1.71661376953125e-05
he, union, 1.0, 1.71661376953125e-05
en, en, 1.0, 1.71661376953125e-05
en, sv, 1.0, 1.6450881958007812e-05
en, union, 1.0, 1.6927719116210938e-05
sv, sv, 1.0, 1.6927719116210938e-05
sv, union, 1.0, 1.71661376953125e-05
union, union, 1.0, 1.71661376953125e-05
