Language1, Language2, SimilarityScore, Time
es, es, 1.0, 0.00024080276489257812
es, pt, 1.0, 0.00011181831359863281
es, simple, 0.0, 3.9577484130859375e-05
es, he, 1.0, 9.512901306152344e-05
es, en, 1.0, 0.00010132789611816406
es, sv, 1.0, 9.942054748535156e-05
es, union, 1.0, 9.989738464355469e-05
pt, pt, 1.0, 9.632110595703125e-05
pt, simple, 0.0, 3.62396240234375e-05
pt, he, 1.0, 8.7738037109375e-05
pt, en, 1.0, 9.560585021972656e-05
pt, sv, 1.0, 9.489059448242188e-05
pt, union, 1.0, 9.417533874511719e-05
simple, simple, 1.0, 9.274482727050781e-05
simple, he, 0.0, 3.528594970703125e-05
simple, en, 1.0, 8.58306884765625e-05
simple, sv, 1.0, 9.393692016601562e-05
simple, union, 1.0, 9.369850158691406e-05
he, he, 1.0, 9.322166442871094e-05
he, en, 1.0, 9.393692016601562e-05
he, sv, 1.0, 9.369850158691406e-05
he, union, 1.0, 9.298324584960938e-05
en, en, 0.5, 0.00010991096496582031
en, sv, 0.5, 0.000102996826171875
en, union, 0.5, 0.00010156631469726562
sv, sv, 0.25, 0.005868434906005859
sv, union, 0.25, 0.0002307891845703125
union, union, 0.25, 0.00033855438232421875
