Language1, Language2, SimilarityScore, Time
es, es, 1.0, 0.0002353191375732422
es, pt, 1.0, 0.00012135505676269531
es, simple, 0.0, 4.2438507080078125e-05
es, he, 1.0, 0.00010657310485839844
es, en, 1.0, 0.00011038780212402344
es, sv, 1.0, 0.00010967254638671875
es, union, 1.0, 0.00010466575622558594
pt, pt, 1.0, 0.00010704994201660156
pt, simple, 0.0, 4.1484832763671875e-05
pt, he, 1.0, 9.894371032714844e-05
pt, en, 1.0, 0.00010323524475097656
pt, sv, 1.0, 0.00010442733764648438
pt, union, 1.0, 0.00010395050048828125
simple, simple, 1.0, 0.00010442733764648438
simple, he, 0.0, 3.886222839355469e-05
simple, en, 1.0, 9.72747802734375e-05
simple, sv, 1.0, 0.00012683868408203125
simple, union, 1.0, 9.799003601074219e-05
he, he, 1.0, 9.465217590332031e-05
he, en, 1.0, 9.441375732421875e-05
he, sv, 1.0, 9.369850158691406e-05
he, union, 1.0, 9.322166442871094e-05
en, en, 2.0, 0.00010776519775390625
en, sv, 2.0, 0.00010633468627929688
en, union, 2.0, 0.00010323524475097656
sv, sv, 4.0, 0.00011277198791503906
sv, union, 4.0, 0.00011014938354492188
union, union, 4.0, 0.00011014938354492188
