Language1, Language2, SimilarityScore, Time
es, es, 1.0, 3.981590270996094e-05
es, pt, 1.0, 1.3589859008789062e-05
es, simple, 0.0, 1.1444091796875e-05
es, he, 1.0, 1.049041748046875e-05
es, en, 0.5, 1.0967254638671875e-05
es, sv, 0.25, 1.0728836059570312e-05
es, union, 0.25, 1.0251998901367188e-05
pt, pt, 1.0, 9.775161743164062e-06
pt, simple, 0.0, 9.298324584960938e-06
pt, he, 1.0, 9.298324584960938e-06
pt, en, 0.5, 9.298324584960938e-06
pt, sv, 0.25, 9.298324584960938e-06
pt, union, 0.25, 1.0251998901367188e-05
simple, simple, 1.0, 9.5367431640625e-06
simple, he, 0.0, 9.059906005859375e-06
simple, en, 0.5, 9.775161743164062e-06
simple, sv, 0.25, 9.5367431640625e-06
simple, union, 0.25, 1.0013580322265625e-05
he, he, 1.0, 9.059906005859375e-06
he, en, 0.5, 9.775161743164062e-06
he, sv, 0.25, 9.775161743164062e-06
he, union, 0.25, 9.775161743164062e-06
en, en, 1.0, 9.775161743164062e-06
en, sv, 0.5, 9.775161743164062e-06
en, union, 0.5, 9.298324584960938e-06
sv, sv, 1.0, 1.0013580322265625e-05
sv, union, 1.0, 9.5367431640625e-06
union, union, 1.0, 9.5367431640625e-06
