Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00027179718017578125
id, fr, 1.0, 0.00014281272888183594
id, tr, 1.0, 0.00011968612670898438
id, lv, 1.0, 0.00011420249938964844
id, el, 1.0, 0.000102996826171875
id, es, 1.0, 0.00011038780212402344
id, pl, 1.0, 0.0001220703125
id, vi, 1.0, 0.00010824203491210938
id, de, 1.0, 0.00011181831359863281
id, ml, 1.0, 0.00011229515075683594
id, sh, 0.0, 0.00011229515075683594
id, nl, 1.0, 0.00013375282287597656
id, pt, 1.0, 0.00011682510375976562
id, ro, 1.0, 0.00011968612670898438
id, ja, 1.0, 0.00011205673217773438
id, simple, 0.0, 0.00011205673217773438
id, it, 1.0, 0.00011658668518066406
id, ceb, 0.0, 0.00011658668518066406
id, he, 1.0, 0.00010466575622558594
id, da, 1.0, 0.0001010894775390625
id, en, 1.0, 0.0002498626708984375
id, sr, 1.0, 0.00011730194091796875
id, sv, 1.0, 0.00010657310485839844
id, ru, 1.0, 0.00012922286987304688
id, hi, 0.0, 0.00012922286987304688
id, te, 1.0, 0.00010633468627929688
id, zh, 1.0, 0.00010800361633300781
id, mk, 1.0, 0.00010132789611816406
id, hu, 1.0, 0.00010180473327636719
id, ko, 1.0, 0.0001010894775390625
fr, fr, 1.0, 0.002092123031616211
fr, tr, 1.0, 0.00016570091247558594
fr, lv, 0.0, 0.00016570091247558594
fr, el, 1.0, 0.00011968612670898438
fr, es, 0.44948974278317805, 0.0003859996795654297
fr, pl, 1.0, 0.00013756752014160156
fr, vi, 1.0, 0.00011897087097167969
fr, de, 1.0, 0.0002219676971435547
fr, ml, 1.0, 0.0001289844512939453
fr, sh, 1.0, 0.00011777877807617188
fr, nl, 1.0, 0.0001323223114013672
fr, pt, 0.585786437626905, 0.00013947486877441406
fr, ro, 1.0, 0.00010800361633300781
fr, ja, 1.0, 0.00011515617370605469
fr, simple, 0.0, 0.00011515617370605469
fr, it, 1.0, 0.0003802776336669922
fr, ceb, 0.0, 0.0003802776336669922
fr, he, 1.0, 0.00012230873107910156
fr, da, 1.0, 0.00011563301086425781
fr, en, 0.44948974278317805, 0.0008182525634765625
fr, sr, 1.0, 0.0001289844512939453
fr, sv, 1.0, 0.0001354217529296875
fr, ru, 1.0, 0.00015544891357421875
fr, hi, 0.0, 0.00015544891357421875
fr, te, 1.0, 0.00012755393981933594
fr, zh, 1.0, 0.0001277923583984375
fr, mk, 0.0, 0.0001277923583984375
fr, hu, 1.0, 0.00012755393981933594
fr, ko, 1.0, 0.0001239776611328125
tr, tr, 1.0, 0.00013375282287597656
tr, lv, 1.0, 0.00012493133544921875
tr, el, 1.0, 0.00011563301086425781
tr, es, 1.0, 0.00012373924255371094
tr, pl, 1.0, 9.918212890625e-05
tr, vi, 1.0, 9.72747802734375e-05
tr, de, 1.0, 0.00010323524475097656
tr, ml, 0.0, 0.00010323524475097656
tr, sh, 0.0, 0.00010323524475097656
tr, nl, 1.0, 0.00012302398681640625
tr, pt, 1.0, 0.00010132789611816406
tr, ro, 1.0, 9.655952453613281e-05
tr, ja, 1.0, 0.00010728836059570312
tr, simple, 0.0, 0.00010728836059570312
tr, it, 1.0, 0.00011754035949707031
tr, ceb, 0.0, 0.00011754035949707031
tr, he, 0.0, 0.00011754035949707031
tr, da, 1.0, 0.00011849403381347656
tr, en, 1.0, 0.0002353191375732422
tr, sr, 0.0, 0.0002353191375732422
tr, sv, 1.0, 0.0001163482666015625
tr, ru, 1.0, 0.00011801719665527344
tr, hi, 0.0, 0.00011801719665527344
tr, te, 0.0, 0.00011801719665527344
tr, zh, 1.0, 0.00012993812561035156
tr, mk, 1.0, 0.0001163482666015625
tr, hu, 1.0, 0.00013256072998046875
tr, ko, 1.0, 0.00011205673217773438
