Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.910064697265625e-05
id, fr, 0.021739130434782608, 3.4809112548828125e-05
id, tr, 0.1111111111111111, 1.4781951904296875e-05
id, lv, 0.08333333333333333, 1.1920928955078125e-05
id, el, 0.1, 1.2874603271484375e-05
id, es, 0.02531645569620253, 2.4557113647460938e-05
id, pl, 0.058823529411764705, 1.3828277587890625e-05
id, vi, 0.11538461538461539, 1.2874603271484375e-05
id, de, 0.022058823529411766, 1.9311904907226562e-05
id, ml, 0.0625, 1.239776611328125e-05
id, sh, 0.0, 1.1682510375976562e-05
id, nl, 0.014285714285714285, 3.1948089599609375e-05
id, pt, 0.014705882352941176, 3.075599670410156e-05
id, ro, 0.08333333333333333, 1.239776611328125e-05
id, ja, 0.16666666666666666, 1.2874603271484375e-05
id, simple, 0.0, 1.1920928955078125e-05
id, it, 0.03125, 3.7670135498046875e-05
id, ceb, 0.0, 1.2874603271484375e-05
id, he, 0.05, 1.239776611328125e-05
id, da, 0.07142857142857142, 1.2159347534179688e-05
id, en, 0.004531722054380665, 0.0044307708740234375
id, sr, 0.05555555555555555, 2.2649765014648438e-05
id, sv, 0.058823529411764705, 1.2874603271484375e-05
id, ru, 0.05263157894736842, 1.52587890625e-05
id, hi, 0.0, 1.1444091796875e-05
id, te, 0.07142857142857142, 1.0967254638671875e-05
id, zh, 0.15, 1.1444091796875e-05
id, mk, 0.08333333333333333, 1.049041748046875e-05
id, hu, 0.125, 1.0967254638671875e-05
id, ko, 0.045454545454545456, 1.0967254638671875e-05
id, union, 0.0030211480362537764, 0.00400233268737793
fr, fr, 1.0, 5.3882598876953125e-05
fr, tr, 0.010752688172043012, 2.4557113647460938e-05
fr, lv, 0.0, 2.1696090698242188e-05
fr, el, 0.016129032258064516, 2.193450927734375e-05
fr, es, 0.18840579710144928, 3.790855407714844e-05
fr, pl, 0.042105263157894736, 2.384185791015625e-05
fr, vi, 0.02631578947368421, 2.288818359375e-05
fr, de, 0.06159420289855073, 3.0040740966796875e-05
fr, ml, 0.005434782608695652, 2.2172927856445312e-05
fr, sh, 0.011111111111111112, 2.1219253540039062e-05
