Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 4.124641418457031e-05
fr, es, 0.6666666666666666, 1.4066696166992188e-05
fr, pl, 0.823529411764706, 1.1920928955078125e-05
fr, de, 0.8, 1.1444091796875e-05
fr, nl, 0.823529411764706, 1.0967254638671875e-05
fr, pt, 0.75, 1.0728836059570312e-05
fr, ro, 0.6666666666666666, 1.0728836059570312e-05
fr, ja, 0.823529411764706, 1.049041748046875e-05
fr, it, 0.75, 1.0728836059570312e-05
fr, he, 0.6666666666666666, 1.049041748046875e-05
fr, da, 0.7692307692307692, 1.049041748046875e-05
fr, en, 0.7272727272727273, 1.0967254638671875e-05
fr, sv, 0.8571428571428571, 1.049041748046875e-05
fr, ru, 0.7692307692307692, 1.049041748046875e-05
fr, hi, 0.6666666666666666, 1.0251998901367188e-05
fr, zh, 0.6666666666666666, 1.049041748046875e-05
fr, ko, 0.6666666666666666, 1.049041748046875e-05
fr, union, 0.8387096774193549, 1.1682510375976562e-05
es, es, 1.0, 1.0013580322265625e-05
es, pl, 0.6666666666666666, 9.5367431640625e-06
es, de, 0.7692307692307692, 9.775161743164062e-06
es, nl, 0.6666666666666666, 1.0013580322265625e-05
es, pt, 0.6666666666666666, 9.775161743164062e-06
es, ro, 0.6666666666666666, 9.059906005859375e-06
es, ja, 0.6666666666666666, 9.775161743164062e-06
es, it, 0.8571428571428571, 9.775161743164062e-06
es, he, 0.6666666666666666, 9.5367431640625e-06
es, da, 0.6666666666666666, 9.059906005859375e-06
es, en, 0.7692307692307692, 1.0013580322265625e-05
es, sv, 0.6666666666666666, 9.298324584960938e-06
es, ru, 0.6666666666666666, 9.5367431640625e-06
es, hi, 0.6666666666666666, 9.298324584960938e-06
es, zh, 0.6666666666666666, 9.298324584960938e-06
es, ko, 0.6666666666666666, 9.5367431640625e-06
es, union, 0.7142857142857143, 1.0251998901367188e-05
pl, pl, 1.0, 1.0013580322265625e-05
pl, de, 0.823529411764706, 1.0013580322265625e-05
pl, nl, 0.8571428571428571, 9.775161743164062e-06
pl, pt, 0.7692307692307692, 9.775161743164062e-06
pl, ro, 0.6666666666666666, 9.5367431640625e-06
pl, ja, 0.8571428571428571, 9.775161743164062e-06
pl, it, 0.6666666666666666, 9.5367431640625e-06
pl, he, 0.6666666666666666, 9.298324584960938e-06
pl, da, 0.8, 9.775161743164062e-06
pl, en, 0.7368421052631579, 9.5367431640625e-06
pl, sv, 0.9090909090909091, 9.5367431640625e-06
pl, ru, 0.8, 9.775161743164062e-06
pl, hi, 0.6666666666666666, 9.298324584960938e-06
pl, zh, 0.6666666666666666, 9.5367431640625e-06
pl, ko, 0.6666666666666666, 9.5367431640625e-06
pl, union, 0.8, 1.0251998901367188e-05
de, de, 1.0, 1.0013580322265625e-05
de, nl, 0.823529411764706, 9.775161743164062e-06
de, pt, 0.8571428571428571, 9.775161743164062e-06
de, ro, 0.7692307692307692, 9.775161743164062e-06
de, ja, 0.9333333333333333, 1.0013580322265625e-05
de, it, 0.75, 9.5367431640625e-06
de, he, 0.7692307692307692, 9.5367431640625e-06
de, da, 0.7692307692307692, 9.775161743164062e-06
de, en, 0.8888888888888888, 1.0013580322265625e-05
de, sv, 0.8571428571428571, 9.775161743164062e-06
de, ru, 0.7692307692307692, 9.5367431640625e-06
de, hi, 0.7692307692307692, 9.5367431640625e-06
de, zh, 0.7692307692307692, 9.5367431640625e-06
de, ko, 0.7692307692307692, 9.5367431640625e-06
de, union, 0.8387096774193549, 1.049041748046875e-05
nl, nl, 1.0, 1.0013580322265625e-05
nl, pt, 0.7692307692307692, 9.5367431640625e-06
nl, ro, 0.6666666666666666, 9.775161743164062e-06
nl, ja, 0.8571428571428571, 9.775161743164062e-06
nl, it, 0.6666666666666666, 1.4066696166992188e-05
nl, he, 0.6666666666666666, 1.0013580322265625e-05
nl, da, 0.8, 1.0013580322265625e-05
nl, en, 0.7368421052631579, 9.775161743164062e-06
nl, sv, 0.9090909090909091, 9.298324584960938e-06
nl, ru, 0.8, 9.775161743164062e-06
nl, hi, 0.6666666666666666, 9.298324584960938e-06
nl, zh, 0.6666666666666666, 9.5367431640625e-06
nl, ko, 0.6666666666666666, 9.5367431640625e-06
nl, union, 0.8, 1.0251998901367188e-05
pt, pt, 1.0, 9.775161743164062e-06
pt, ro, 0.8571428571428571, 9.5367431640625e-06
pt, ja, 0.9090909090909091, 9.775161743164062e-06
pt, it, 0.6666666666666666, 9.775161743164062e-06
pt, he, 0.8571428571428571, 9.5367431640625e-06
pt, da, 0.6666666666666666, 9.5367431640625e-06
pt, en, 0.8571428571428571, 9.5367431640625e-06
pt, sv, 0.8, 9.298324584960938e-06
pt, ru, 0.6666666666666666, 9.5367431640625e-06
pt, hi, 0.8571428571428571, 9.298324584960938e-06
pt, zh, 0.8571428571428571, 9.5367431640625e-06
pt, ko, 0.8571428571428571, 9.5367431640625e-06
pt, union, 0.7586206896551725, 1.1444091796875e-05
ro, ro, 1.0, 9.298324584960938e-06
ro, ja, 0.8, 9.775161743164062e-06
ro, it, 0.6666666666666666, 9.775161743164062e-06
ro, he, 1.0, 9.775161743164062e-06
