Language1, Language2, SimilarityScore, Time
fr, fr, 0.25, 0.012595415115356445
fr, es, 0.0, 8.273124694824219e-05
fr, pl, 0.5, 0.0001857280731201172
fr, de, 0.5, 0.0001316070556640625
fr, nl, 0.5, 0.00012063980102539062
fr, pt, 1.0, 0.00012493133544921875
fr, ro, 0.0, 3.9577484130859375e-05
fr, ja, 0.5, 0.00011157989501953125
fr, it, 1.0, 0.0001087188720703125
fr, he, 0.0, 3.838539123535156e-05
fr, da, 1.0, 9.512901306152344e-05
fr, en, 1.0, 0.0001010894775390625
fr, sv, 0.5, 0.00012135505676269531
fr, ru, 1.0, 0.00010442733764648438
fr, hi, 0.0, 3.790855407714844e-05
fr, zh, 0.0, 2.8848648071289062e-05
fr, ko, 0.0, 2.7179718017578125e-05
fr, union, 0.25, 0.00011754035949707031
es, es, 1.0, 0.00010538101196289062
es, pl, 0.0, 3.7670135498046875e-05
es, de, 1.0, 9.489059448242188e-05
es, nl, 0.0, 3.647804260253906e-05
es, pt, 0.0, 2.8848648071289062e-05
es, ro, 0.0, 2.6702880859375e-05
es, ja, 0.0, 2.6226043701171875e-05
es, it, 1.0, 9.298324584960938e-05
es, he, 0.0, 3.695487976074219e-05
es, da, 0.0, 2.86102294921875e-05
es, en, 1.0, 9.274482727050781e-05
es, sv, 0.0, 3.6716461181640625e-05
es, ru, 0.0, 2.8848648071289062e-05
es, hi, 0.0, 2.7418136596679688e-05
es, zh, 0.0, 2.6941299438476562e-05
es, ko, 0.0, 2.6702880859375e-05
es, union, 1.0, 0.00010275840759277344
pl, pl, 0.3333333333333333, 0.0001609325408935547
pl, de, 0.5, 0.00013208389282226562
pl, nl, 0.5, 0.00013566017150878906
pl, pt, 1.0, 0.00011301040649414062
pl, ro, 0.0, 3.981590270996094e-05
pl, ja, 0.5, 0.00011229515075683594
pl, it, 0.0, 4.0531158447265625e-05
pl, he, 0.0, 3.0040740966796875e-05
pl, da, 1.0, 0.00010013580322265625
pl, en, 1.0, 0.00010538101196289062
pl, sv, 0.5, 0.00013327598571777344
pl, ru, 1.0, 0.00010418891906738281
pl, hi, 0.0, 3.719329833984375e-05
pl, zh, 0.0, 2.86102294921875e-05
pl, ko, 0.0, 2.6464462280273438e-05
pl, union, 0.3333333333333333, 0.00013113021850585938
de, de, 0.25, 0.00013446807861328125
de, nl, 0.5, 0.0001277923583984375
de, pt, 0.5, 0.00012373924255371094
de, ro, 1.0, 0.00010967254638671875
de, ja, 0.3333333333333333, 0.00013399124145507812
de, it, 1.0, 0.000110626220703125
de, he, 1.0, 0.00010514259338378906
de, da, 1.0, 0.00010395050048828125
de, en, 0.3333333333333333, 0.0001277923583984375
de, sv, 0.5, 0.00012254714965820312
de, ru, 1.0, 0.0001087188720703125
de, hi, 1.0, 0.00010395050048828125
de, zh, 1.0, 0.00010323524475097656
de, ko, 1.0, 0.00010251998901367188
de, union, 0.25, 0.00014090538024902344
nl, nl, 0.3333333333333333, 0.00013828277587890625
nl, pt, 1.0, 0.00011205673217773438
nl, ro, 0.0, 4.029273986816406e-05
nl, ja, 0.5, 0.00013256072998046875
nl, it, 0.0, 4.1484832763671875e-05
nl, he, 0.0, 3.147125244140625e-05
nl, da, 1.0, 0.00010228157043457031
nl, en, 1.0, 0.00010466575622558594
nl, sv, 0.5, 0.0004925727844238281
nl, ru, 1.0, 0.00011038780212402344
nl, hi, 0.0, 4.00543212890625e-05
nl, zh, 0.0, 4.5299530029296875e-05
nl, ko, 0.0, 4.601478576660156e-05
nl, union, 0.3333333333333333, 0.0006625652313232422
pt, pt, 0.5, 0.0002841949462890625
pt, ro, 1.0, 0.00011181831359863281
pt, ja, 0.5, 0.00040340423583984375
pt, it, 0.0, 4.00543212890625e-05
pt, he, 1.0, 9.894371032714844e-05
pt, da, 0.0, 3.7670135498046875e-05
pt, en, 0.5, 0.0004949569702148438
pt, sv, 1.0, 0.00010752677917480469
pt, ru, 0.0, 3.886222839355469e-05
pt, hi, 1.0, 0.0001068115234375
pt, zh, 1.0, 0.00010132789611816406
pt, ko, 1.0, 9.942054748535156e-05
pt, union, 0.5, 0.0008647441864013672
ro, ro, 1.0, 0.00013685226440429688
ro, ja, 1.0, 0.00010514259338378906
ro, it, 0.0, 3.910064697265625e-05
