Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 0.0; 0.0
gml; work; es; 0.0; 0.0
gml; work; pl; 0.0; 0.0
gml; work; de; 0.0; 0.0
gml; work; nl; 0.0; 0.0
gml; work; pt; 0.0; 0.0
gml; work; ro; 0.0; 0.0
gml; work; ja; 0.0; 0.0
gml; work; it; 0.0; 0.0
gml; work; he; 0.0; 0.0
gml; work; da; 0.0; 0.0
gml; work; en; 0.0; 0.0
gml; work; sv; 0.0; 0.0
gml; work; ru; 0.0; 0.0
gml; work; hi; 0.0; 0.0
gml; work; zh; 0.0; 0.0
gml; work; ko; 0.0; 0.0
gml; data; fr; 0.0; 0.0
gml; data; es; 0.0; 0.0
gml; data; pl; 0.0; 0.0
gml; data; vi; 0.0; 0.0
gml; data; de; 0.0; 0.0
gml; data; nl; 0.0; 0.0
gml; data; pt; 0.0; 0.0
gml; data; ja; 0.0; 0.0
gml; data; he; 0.0; 0.0
gml; data; en; 0.14666666666666667; 0.21766436956419344
gml; data; sr; 0.0; 0.0
gml; data; ru; 0.0; 0.0
gml; data; hi; 0.0; 0.0
gml; data; zh; 0.0; 0.0
gml; history of art; en; 0.0; 0.0
gml; prehistory; id; 0.0; 0.0
gml; prehistory; fr; 0.0; 0.0
gml; prehistory; mr; 0.0; 0.0
gml; prehistory; tr; 0.0; 0.0
gml; prehistory; lv; 0.0; 0.0
gml; prehistory; el; 0.0; 0.0
gml; prehistory; es; 0.0; 0.0
gml; prehistory; pl; 0.0; 0.0
gml; prehistory; vi; 0.0; 0.0
gml; prehistory; de; 0.0; 0.0
gml; prehistory; ml; 0.0; 0.0
gml; prehistory; sh; 0.0; 0.0
gml; prehistory; nl; 0.0; 0.0
gml; prehistory; si; 0.0; 0.0
gml; prehistory; pt; 0.0; 0.0
gml; prehistory; ro; 0.0; 0.0
gml; prehistory; ja; 0.0; 0.0
gml; prehistory; simple; 0.0; 0.0
gml; prehistory; it; 0.0; 0.0
gml; prehistory; ceb; 0.0; 0.0
gml; prehistory; he; 0.0; 0.0
gml; prehistory; da; 0.0; 0.0
gml; prehistory; en; 0.17333333333333328; 0.18547236990991406
gml; prehistory; sr; 0.0; 0.0
gml; prehistory; sv; 0.0; 0.0
gml; prehistory; ru; 0.0; 0.0
gml; prehistory; hi; 0.0; 0.0
gml; prehistory; bs; 0.0; 0.0
gml; prehistory; zh; 0.0; 0.0
gml; prehistory; mk; 0.0; 0.0
gml; prehistory; hu; 0.0; 0.0
gml; prehistory; ko; 0.0; 0.0
gml; prehistory; war; 0.0; 0.0
gml; chemical element; id; 0.7993573983984276; 0.0013623975523199077
gml; chemical element; fr; 0.597624976375303; 0.0019814930384706706
gml; chemical element; mr; 0.0; 0.0
gml; chemical element; tr; 0.5530138687875155; 0.002642756033261003
gml; chemical element; lv; 0.4082379337689072; 0.003668378933655653
gml; chemical element; el; 0.0; 0.0
gml; chemical element; es; 0.629385001943819; 0.0019418997761695028
gml; chemical element; pl; 0.8655916625582756; 0.0008999673806951226
gml; chemical element; vi; 0.6895239644386193; 0.0021615733971837893
gml; chemical element; de; 0.8039566495788845; 0.001376766204036737
gml; chemical element; ml; 0.0; 0.0
gml; chemical element; sh; 0.0777131905593534; 0.004148973732736865
gml; chemical element; nl; 0.9363491794129036; 0.0005393769799973599
gml; chemical element; si; 0.0; 0.0
gml; chemical element; pt; 0.08225831386287791; 0.0035624252812977222
gml; chemical element; ro; 0.8773658624028985; 0.0009845208896794816
gml; chemical element; ja; 0.0; 0.0
gml; chemical element; simple; 0.9089060714404498; 0.000715767100651352
gml; chemical element; it; 0.9521437164399971; 0.00038591525072150326
gml; chemical element; ceb; 0.8637713035322951; 0.001128855255924162
gml; chemical element; he; 0.0; 0.0
gml; chemical element; da; 0.8762577134481859; 0.0009369820966847565
gml; chemical element; en; 0.5815200405423446; 0.002195599097419222
gml; chemical element; sr; 0.0; 0.0
gml; chemical element; sv; 0.6992341462900861; 0.001812156228498881
gml; chemical element; ckb; 0.0; 0.0
gml; chemical element; ru; 0.0; 0.0
gml; chemical element; hi; 0.0; 0.0
gml; chemical element; arz; 0.0; 0.0
gml; chemical element; bs; 0.918793267990049; 0.0006275758127174983
gml; chemical element; te; 0.0; 0.0
gml; chemical element; zh; 0.037230851803184424; 0.004116706325772765
gml; chemical element; mk; 0.0; 0.0
gml; chemical element; hu; 0.19422054973588307; 0.0036959468114889397
gml; chemical element; ko; 0.0; 0.0
gml; chemical element; war; 0.0; 0.0
gml; dialect; id; 0.021658493454288656; 0.005254832589613416
gml; dialect; fr; 0.0075588799237459045; 0.0011504577958660518
gml; dialect; mr; 0.0; 0.0
gml; dialect; tr; 0.0022872140982377206; 0.004072745901235439
gml; dialect; lv; 0.0; 0.0
gml; dialect; el; 0.0; 0.0
gml; dialect; es; 0.0008883301906557721; 0.0017153246248475624
gml; dialect; pl; 0.00913285060648347; 0.0032818399563155267
gml; dialect; vi; 0.0; 0.0
gml; dialect; de; 0.0026198277105988553; 0.0014326152013118755
gml; dialect; ml; 0.0; 0.0
gml; dialect; sh; 0.006033333333333332; 0.01552557030621849
gml; dialect; nl; 0.005986771371257542; 0.001268581055877342
gml; dialect; si; 0.0; 0.0
gml; dialect; pt; 0.012991414313597838; 0.0026601016105820808
gml; dialect; ro; 0.0038181818181818182; 0.023467227015598863
gml; dialect; ja; 0.0; 0.0
gml; dialect; simple; 0.006685606060606061; 0.013342409853982976
gml; dialect; it; 0.044082687094494144; 0.0017652036926861293
gml; dialect; ceb; 0.0; 0.0
gml; dialect; he; 0.0; 0.0
gml; dialect; da; 0.006656925774400935; 0.010811251460381449
gml; dialect; en; 0.016762046058753397; 0.0005236351012794518
gml; dialect; sr; 0.0; 0.0
gml; dialect; sv; 0.016613722088027024; 0.003435363569949967
gml; dialect; ckb; 0.0; 0.0
gml; dialect; ru; 0.0; 0.0
gml; dialect; hi; 0.0; 0.0
gml; dialect; arz; 0.0; 0.0
gml; dialect; bs; 0.0; 0.0
gml; dialect; te; 0.0; 0.0
gml; dialect; zh; 0.0; 0.0
gml; dialect; mk; 0.0; 0.0
gml; dialect; hu; 0.009072303433706165; 0.0066841614380156854
gml; dialect; ko; 0.0; 0.0
gml; dialect; war; 0.0; 0.0
gml; coat of arms; id; 0.2926572190788857; 0.01496660328675892
gml; coat of arms; fr; 0.029354816655402405; 0.002935882186224849
gml; coat of arms; tr; 0.0; 0.0
gml; coat of arms; lv; 0.0; 0.0
gml; coat of arms; el; 0.0; 0.0
gml; coat of arms; es; 0.00014989293361884371; 0.0005463533542686542
gml; coat of arms; pl; 0.009492862534755096; 0.0001857293557507741
gml; coat of arms; vi; 0.0; 0.0
gml; coat of arms; de; 0.007252869099336648; 0.001485766199203069
gml; coat of arms; sh; 0.07427143797692129; 0.011409306064569752
gml; coat of arms; nl; 0.011449882994259766; 0.0013826679499002704
gml; coat of arms; pt; 0.0; 0.0
gml; coat of arms; ro; 0.01916024588438382; 0.029949276429252835
gml; coat of arms; ja; 0.0; 0.0
gml; coat of arms; simple; 0.0; 0.0
gml; coat of arms; it; 0.05731655385470476; 0.0021479671565179615
gml; coat of arms; he; 0.0; 0.0
gml; coat of arms; da; 0.0; 0.0
gml; coat of arms; en; 0.015182567672066067; 0.0011729263259481534
gml; coat of arms; sr; 0.0; 0.0
gml; coat of arms; sv; 0.005421017895816382; 0.0027000883735260497
gml; coat of arms; ru; 0.0; 0.0
gml; coat of arms; hi; 0.0; 0.0
gml; coat of arms; arz; 0.0; 0.0
gml; coat of arms; bs; 0.06780759460805154; 0.009972528592667425
gml; coat of arms; zh; 0.0; 0.0
gml; coat of arms; mk; 0.0; 0.0
gml; coat of arms; hu; 0.0; 0.0
gml; coat of arms; ko; 0.0; 0.0
gml; chemical compound; id; 0.013296141533363679; 0.0019943348807657736
gml; chemical compound; fr; 0.004427125851678835; 0.0006805261395297058
gml; chemical compound; mr; 0.0; 0.0
gml; chemical compound; tr; 0.013883972835288154; 0.00271627654897531
gml; chemical compound; lv; 0.0028695858518932543; 0.002892217761180996
