Root path: ../../graphs/
Sample Size: 100

type; dataset; language; mean; stdgml; theoremGML; fr; 0.0017002961813749936; 0.0005952652096931552
gml; theoremGML; es; 0.0015475102295708784; 0.0011026193748124296
gml; theoremGML; pl; 0.0012527992898929683; 0.0011124480453713174
gml; theoremGML; vi; 0.004577713410259974; 0.003407906921878921
gml; theoremGML; de; 0.0006684849059990918; 0.0005664437089564367
gml; theoremGML; nl; 0.0010178903240873167; 0.0015411454577046743
gml; theoremGML; ja; 0.0019007422787366347; 0.0009668059222574931
gml; theoremGML; it; 0.0037024061570638533; 0.0010709192504918458
gml; theoremGML; en; 0.0007490930203249395; 0.000277914931710988
gml; theoremGML; sv; 0.001006154482631681; 0.0012247060613565005
gml; theoremGML; ru; 0.0010167603887031918; 0.0006932157620897531
gml; theoremGML; war; 0.0; 0.0
gml; holydayGML; fr; 0.019492855839063978; 0.006001379332136818
gml; holydayGML; es; 0.006081864297218234; 0.006797682045644545
gml; holydayGML; pl; 0.02267444158532689; 0.01080340078090765
gml; holydayGML; vi; 0.01359027501685364; 0.012652255003088028
gml; holydayGML; de; 0.030223328360632826; 0.009261330744021759
gml; holydayGML; nl; 0.011833936490454633; 0.00928699484218855
gml; holydayGML; ja; 0.010160156508585694; 0.0077498003083877704
gml; holydayGML; it; 0.012140585486730112; 0.006071813586062057
gml; holydayGML; ceb; 0.30654868258815715; 0.034297924665365125
gml; holydayGML; en; 0.03306205901199348; 0.002921106627072951
gml; holydayGML; sv; 0.013894129468001403; 0.00591871797703366
gml; holydayGML; ru; 0.02240100692127157; 0.006852880543622924
gml; holydayGML; war; 0.01; 0.09949874371066199
gml; paintingGML; fr; 0.0; 0.0
gml; paintingGML; es; 0.00013014826495582542; 0.00017118706545407697
gml; paintingGML; pl; 0.0015322979794814159; 0.00020572679600072629
gml; paintingGML; vi; 0.005831429820763059; 0.0044965338190804454
gml; paintingGML; de; 0.000993151981963742; 0.00048157288739048525
gml; paintingGML; nl; 0.002447589985525635; 0.00029367822616632944
gml; paintingGML; ja; 0.008002833370664535; 0.0013847652368814876
gml; paintingGML; it; 0.0012769439784464426; 9.485075745839808e-05
gml; paintingGML; ceb; 0.0; 0.0
gml; paintingGML; en; 0.002697381904866534; 0.00010157618679039468
gml; paintingGML; sv; 0.0035614208500411386; 0.0010373290811689524
gml; paintingGML; ru; 0.0023463878338581003; 0.0002149567091693063
gml; paintingGML; war; 0.0; 0.0
gml; warGML; fr; 0.0; 0.0
gml; warGML; es; 0.0; 0.0
gml; warGML; pl; 0.0; 0.0
gml; warGML; vi; 0.0; 0.0
gml; warGML; de; 0.0; 0.0
gml; warGML; nl; 0.0; 0.0
gml; warGML; ja; 0.0; 0.0
gml; warGML; it; 0.0; 0.0
gml; warGML; ceb; nan; graph is empty
gml; warGML; en; 0.0; 0.0
gml; warGML; sv; 0.0; 0.0
gml; warGML; ru; 0.0; 0.0
gml; warGML; war; nan; graph is empty
gml; fussballligaGML; fr; 0.1352008573440878; 0.0010787630971127887
gml; fussballligaGML; es; 0.0018487244928300879; 0.0008897017563443958
gml; fussballligaGML; pl; 0.04111666674745242; 0.0015460027110739106
gml; fussballligaGML; vi; 0.028260313386594103; 0.0028206332674525457
gml; fussballligaGML; de; 0.03202054357953369; 0.0011257710629203382
gml; fussballligaGML; nl; 0.058646812052437165; 0.0009171783157430846
gml; fussballligaGML; ja; 0.04410118236759297; 0.0019280263956267462
gml; fussballligaGML; it; 0.031918211720830564; 0.0007243783028685162
gml; fussballligaGML; en; 0.019623983259344967; 0.0005808406470862918
gml; fussballligaGML; sv; 0.04726090423399023; 0.0020925962463039854
gml; fussballligaGML; ru; 0.03915821149993033; 0.0013145728112339743
gml; killerGML; fr; 0.0; 0.0
gml; killerGML; es; 0.0; 0.0
gml; killerGML; pl; 0.0; 0.0
gml; killerGML; vi; nan; graph is empty
gml; killerGML; de; 0.0; 0.0
gml; killerGML; nl; 0.0; 0.0
gml; killerGML; ja; 0.0; 0.0
gml; killerGML; it; 0.0; 0.0
gml; killerGML; en; 0.0; 0.0
gml; killerGML; sv; 0.0; 0.0
gml; killerGML; ru; 0.0; 0.0
gml; killerGML; war; nan; graph is empty
gml; krankheitGML; fr; 0.003803055126170681; 0.0001907646092903291
gml; krankheitGML; es; 0.0013633260312503376; 0.00021678858729885024
gml; krankheitGML; pl; 0.0014254993174749743; 0.00023219584880263726
gml; krankheitGML; vi; 0.0034219249829010533; 0.0006160157721509477
gml; krankheitGML; de; 0.0014402599582019862; 0.00016473552467872156
gml; krankheitGML; nl; 0.001533228376768572; 0.0002969864951654146
gml; krankheitGML; ja; 0.006916507534491099; 0.0003056955730435966
gml; krankheitGML; it; 0.005482685900587125; 0.0002002435249626625
gml; krankheitGML; ceb; 0.04805555555555555; 0.06903825652634582
gml; krankheitGML; en; 0.0058169239779803025; 0.0001094038724523957
gml; krankheitGML; sv; 0.006327137294206712; 0.00039366457745153765
gml; krankheitGML; ru; 0.0076648517857284115; 0.0002722359921889271
gml; krankheitGML; war; 0.0; 0.0
gml; komponistGML; fr; 0.04459460717449901; 0.013895343980280875
gml; komponistGML; es; 0.040204373645774; 0.015533754796224647
gml; komponistGML; pl; 0.0473203177399454; 0.023026796159558622
gml; komponistGML; vi; 0.04928075352504349; 0.029735699399457007
gml; komponistGML; de; 0.02166859133628396; 0.014252358678884379
gml; komponistGML; nl; 0.027185524428418394; 0.021076325152606275
gml; komponistGML; ja; 0.05348666891618649; 0.01693772738355944
gml; komponistGML; it; 0.10047009078304449; 0.020446839672338804
gml; komponistGML; ceb; 0.0; 0.0
gml; komponistGML; en; 0.06280759532915138; 0.014691118957352783
gml; komponistGML; sv; 0.016299959983993598; 0.01692177547715374
gml; komponistGML; ru; 0.02431250239918234; 0.01666954160783482
gml; komponistGML; war; 0.0; 0.0
fullgml; theoremGML; fr; 0.00023501305800682271; 5.755203510183473e-05
fullgml; theoremGML; es; 0.00040508987228932586; 0.00013614417855016404
fullgml; theoremGML; pl; 0.00039524850342387963; 0.00016951104418513218
fullgml; theoremGML; vi; 0.0010197396241819015; 0.0005028605140697766
fullgml; theoremGML; de; 0.0002235188110221782; 7.195774686933769e-05
fullgml; theoremGML; nl; 0.0005422940945586587; 0.00022392920709588004
fullgml; theoremGML; ja; 0.0003251049381039562; 9.870996648266197e-05
fullgml; theoremGML; it; 0.000490011530036066; 0.00013215456766564772
fullgml; theoremGML; en; 0.00012010973652473603; 2.8663935892506874e-05
fullgml; theoremGML; sv; 0.0007394962760168696; 0.0003010806267574117
fullgml; theoremGML; ru; 0.00023540908662980666; 8.860041612108797e-05
fullgml; theoremGML; war; 0.26999999999999996; 0.30072135496724095
fullgml; holydayGML; fr; 0.00019401298309132178; 0.00011193268345892881
fullgml; holydayGML; es; 0.00028213993505189213; 0.0001475758021972311
fullgml; holydayGML; pl; 0.000557276153851803; 0.0003128878767116863
fullgml; holydayGML; vi; 0.000979030287185561; 0.0005755803103198748
fullgml; holydayGML; de; 0.00030311937380076326; 0.0001863527639445657
fullgml; holydayGML; nl; 0.0004579682742575376; 0.0002915378895314798
fullgml; holydayGML; ja; 0.0002812263751637473; 0.0001643288345817212
fullgml; holydayGML; it; 0.00024676771580648104; 0.0001607441209067327
fullgml; holydayGML; ceb; 0.05142569655080571; 0.008255441860106795
fullgml; holydayGML; en; 7.48989484508132e-05; 3.392808559786087e-05
fullgml; holydayGML; sv; 0.0005700265192445748; 0.0002619413923651293
fullgml; holydayGML; ru; 0.0003121943021427745; 0.00016353886015487616
fullgml; holydayGML; war; 0.029453375453375456; 0.02837016780444772
fullgml; paintingGML; fr; 0.00014737104906323647; 1.6611115890487715e-05
fullgml; paintingGML; es; 0.00013411135485137202; 3.325895039559668e-05
fullgml; paintingGML; pl; 0.00019712561189121666; 4.244797669909099e-05
fullgml; paintingGML; vi; 0.0009800694914355813; 0.0005086855616486335
fullgml; paintingGML; de; 8.282164286181361e-05; 3.612996288916353e-05
fullgml; paintingGML; nl; 0.0002203480623265845; 4.4064157008799805e-05
fullgml; paintingGML; ja; 0.0001945315703629692; 7.397276259819109e-05
fullgml; paintingGML; it; 0.00019717166145868874; 2.3026776869587438e-05
fullgml; paintingGML; ceb; 0.24; 0.26280537792569364
fullgml; paintingGML; en; 9.082909794974577e-05; 1.0007492719036858e-05
fullgml; paintingGML; sv; 0.0003224342780399873; 0.00012773326379674366
fullgml; paintingGML; ru; 0.00012871093422823235; 2.6293473555033874e-05
fullgml; paintingGML; war; 0.01639921224826885; 0.016021634152593636
fullgml; warGML; fr; 0.0010356590734812688; 0.0008907827640087032
fullgml; warGML; es; 0.0013090058044586284; 0.0011913236874342397
fullgml; warGML; pl; 0.0030860707378047567; 0.0029153913978139604
fullgml; warGML; vi; 0.0011278080185776183; 0.0011395550804713355
fullgml; warGML; de; 0.0006955210672321127; 0.0006420491222804004
fullgml; warGML; nl; 0.0046625158076175335; 0.0043986906734951115
fullgml; warGML; ja; 0.0009301563415809634; 0.0008503001400439485
fullgml; warGML; it; 0.0014418062196436237; 0.001175177133656087
fullgml; warGML; ceb; 0.10936507936507937; 0.10577659158236552
fullgml; warGML; en; 0.0003988160163026763; 0.00035242902990490323
fullgml; warGML; sv; 0.00269210443062067; 0.0030532499362683507
fullgml; warGML; ru; 0.001036309402489526; 0.0010509462950855897
fullgml; warGML; war; 0.16699999999999998; 0.18168929522676894
fullgml; fussballligaGML; fr; 9.325106166382401e-05; 2.250731149386855e-05
fullgml; fussballligaGML; es; 3.2273598457108184e-05; 1.9080145117919533e-05
fullgml; fussballligaGML; pl; 8.456720577958192e-05; 4.087915198950665e-05
fullgml; fussballligaGML; vi; 0.000369059886424603; 0.00014339253080663505
fullgml; fussballligaGML; de; 5.809455749399802e-05; 2.2859955968262066e-05
fullgml; fussballligaGML; nl; 0.00013285965802500168; 2.8790955917156236e-05
fullgml; fussballligaGML; ja; 0.0001331323858500103; 4.23594677355732e-05
fullgml; fussballligaGML; it; 7.267234042665832e-05; 2.4746408201708925e-05
fullgml; fussballligaGML; en; 2.544458805926227e-05; 9.49384807664374e-06
fullgml; fussballligaGML; sv; 0.00020676533954277945; 8.021655581921225e-05
fullgml; fussballligaGML; ru; 8.361058311369171e-05; 3.748480734479052e-05
fullgml; killerGML; fr; 5.838273193150381e-05; 2.472084882552685e-05
fullgml; killerGML; es; 0.0001248831357759111; 4.578234646139429e-05
fullgml; killerGML; pl; 0.00018944210815271238; 9.45541419970208e-05
fullgml; killerGML; vi; 0.00045186166966618857; 0.00037771487343674505
fullgml; killerGML; de; 7.177739633026715e-05; 3.149294558349422e-05
fullgml; killerGML; nl; 0.00017034450027360697; 8.948209239600303e-05
fullgml; killerGML; ja; 9.670943737290905e-05; 4.9492160300899135e-05
fullgml; killerGML; it; 9.336153944286351e-05; 4.3684302882126224e-05
fullgml; killerGML; en; 2.4914784072798623e-05; 7.943991643722937e-06
fullgml; killerGML; sv; 0.00017086965522318347; 8.930171564996141e-05
fullgml; killerGML; ru; 9.530850744955826e-05; 3.907404835538198e-05
fullgml; killerGML; war; 0.09299999999999999; 0.14300699283601484
fullgml; krankheitGML; fr; 0.00014282303923802704; 2.061518940399445e-05
fullgml; krankheitGML; es; 0.0002387454851457628; 3.5135213135995176e-05
fullgml; krankheitGML; pl; 0.0002470772293236443; 4.077285349521812e-05
fullgml; krankheitGML; vi; 0.0005492895684500841; 0.00010658599338121158
fullgml; krankheitGML; de; 0.00011645870430002167; 2.1173383048731577e-05
fullgml; krankheitGML; nl; 0.0002453409631739233; 5.1543205023730345e-05
fullgml; krankheitGML; ja; 0.0001791112045886929; 2.773404821171185e-05
fullgml; krankheitGML; it; 0.00037541549139897797; 3.1910864620886244e-05
fullgml; krankheitGML; ceb; 0.022110656638958524; 0.02037913357571486
fullgml; krankheitGML; en; 0.00013600095860087644; 9.611407315484724e-06
fullgml; krankheitGML; sv; 0.000542725156987721; 7.440330873394025e-05
fullgml; krankheitGML; ru; 0.0003484746334680275; 3.486423220514781e-05
fullgml; krankheitGML; war; 0.007491837866196957; 0.007282364044739886
fullgml; komponistGML; fr; 0.00017273606394528198; 8.228163291323119e-05
fullgml; komponistGML; es; 0.000313668428280267; 0.00019687373887959927
fullgml; komponistGML; pl; 0.0005759186319334365; 0.0003739656750295016
fullgml; komponistGML; vi; 0.0009609951192935868; 0.0006117641355698704
fullgml; komponistGML; de; 0.00020279484804119611; 0.00014412038315093068
fullgml; komponistGML; nl; 0.0004044992834087317; 0.0003145676395210861
fullgml; komponistGML; ja; 0.0002919293834695934; 0.00015300223136789442
fullgml; komponistGML; it; 0.0003650222259403288; 0.00017519024483180778
fullgml; komponistGML; ceb; 0.008549501962346; 0.009339872933521938
fullgml; komponistGML; en; 0.00014060742507547873; 8.119209655874394e-05
fullgml; komponistGML; sv; 0.0005908687612883186; 0.00041364331170599315
fullgml; komponistGML; ru; 0.0003779586392357193; 0.0002479212712243623
fullgml; komponistGML; war; 0.014511254308923258; 0.012032665241959496
